"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","2.0823","2024-02-01T00:00:00.000Z","0","2.0823"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","104.1133","2024-02-01T00:00:00.000Z","49.9992","1.0411"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","187.4039","2024-02-01T00:00:00.000Z","180.0057","0.937"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","270.6945","2024-02-01T00:00:00.000Z","288.8949","0.9023"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","347.0442","2024-02-01T00:00:00.000Z","384.6217","0.8676"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","416.4531","2024-02-01T00:00:00.000Z","480.0059","0.8329"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","812.0834","2024-02-01T00:00:00.000Z","975.0071","0.8121"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1540.8763","2024-02-01T00:00:00.000Z","1897.3972","0.7704"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","GBP","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","3643.9642","2024-02-01T00:00:00.000Z","4729.9639","0.7288"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","2.0814","2024-02-01T00:00:00.000Z","0","2.0814"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","104.0722","2024-02-01T00:00:00.000Z","50.0011","1.0407"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","187.33","2024-02-01T00:00:00.000Z","180.0038","0.9366"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","270.5878","2024-02-01T00:00:00.000Z","288.9043","0.902"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","346.9074","2024-02-01T00:00:00.000Z","384.598","0.8673"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","416.2889","2024-02-01T00:00:00.000Z","479.9826","0.8326"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","811.7633","2024-02-01T00:00:00.000Z","974.9739","0.8118"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1540.2689","2024-02-01T00:00:00.000Z","1897.3502","0.7701"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","GBP","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","3642.5277","2024-02-01T00:00:00.000Z","4729.9412","0.7285"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","2.0905","2024-02-01T00:00:00.000Z","0","2.0905"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","104.5255","2024-02-01T00:00:00.000Z","50.0002","1.0453"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","188.1459","2024-02-01T00:00:00.000Z","179.9923","0.9407"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","271.7662","2024-02-01T00:00:00.000Z","288.8978","0.9059"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","348.4183","2024-02-01T00:00:00.000Z","384.6101","0.8710"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","418.1019","2024-02-01T00:00:00.000Z","480.0251","0.8362"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","815.2987","2024-02-01T00:00:00.000Z","975.0044","0.8153"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1546.9771","2024-02-01T00:00:00.000Z","1897.4330","0.7735"
"2024-04-03T09:26:28.723Z","Sentinel","israelcentral","GBP","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","3658.3917","2024-02-01T00:00:00.000Z","4729.6596","0.7317"
