"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","219.4929","2024-02-01T00:00:00.000Z","0","219.4929"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","10974.645","2024-02-01T00:00:00.000Z","50","109.7464"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","19754.361","2024-02-01T00:00:00.000Z","180.0001","98.7718"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","28534.077","2024-02-01T00:00:00.000Z","288.8889","95.1136"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","36582.15","2024-02-01T00:00:00.000Z","384.6153","91.4554"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","43898.58","2024-02-01T00:00:00.000Z","479.9999","87.7972"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","85602.231","2024-02-01T00:00:00.000Z","974.9996","85.6022"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","162424.746","2024-02-01T00:00:00.000Z","1897.4366","81.2124"
"2024-02-02T06:08:03.849Z","Sentinel","israelcentral","INR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","384112.575","2024-02-01T00:00:00.000Z","4729.7282","76.8225"
"2024-03-02T06:08:20.311Z","Sentinel","israelcentral","INR","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","218.8626","2024-02-01T00:00:00.000Z","0","218.8626"
