"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CAD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.8203","2021-04-15T02:00:00.000Z","0","3.8203"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CAD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","191.016","2021-04-15T02:00:00.000Z","50.0003","1.9102"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CAD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","343.8288","2021-04-15T02:00:00.000Z","179.9962","1.7191"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CAD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","496.6416","2021-04-15T02:00:00.000Z","288.8963","1.6555"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CAD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","636.7109","2021-04-15T02:00:00.000Z","384.6034","1.5918"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CAD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","764.064","2021-04-15T02:00:00.000Z","480","1.5281"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CAD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.8039","2021-04-15T02:00:00.000Z","0","3.8039"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CAD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","190.197","2021-04-15T02:00:00.000Z","50.0005","1.902"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CAD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","342.3546","2021-04-15T02:00:00.000Z","179.9972","1.7118"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CAD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","494.5122","2021-04-15T02:00:00.000Z","288.8843","1.6484"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CAD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","633.9809","2021-04-15T02:00:00.000Z","384.6038","1.585"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CAD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","760.788","2021-04-15T02:00:00.000Z","479.9924","1.5216"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CAD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.8149","2021-04-15T02:00:00.000Z","0","3.8149"
