"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.4439","2021-04-15T02:00:00.000Z","0","19.4439"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","972.195","2021-04-15T02:00:00.000Z","50","9.722"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1749.951","2021-04-15T02:00:00.000Z","179.9991","8.7498"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2527.707","2021-04-15T02:00:00.000Z","288.8874","8.4257"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3240.6037","2021-04-15T02:00:00.000Z","384.6094","8.1015"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3888.78","2021-04-15T02:00:00.000Z","480.0074","7.7776"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.286","2021-04-15T02:00:00.000Z","0","19.286"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","964.299","2021-04-15T02:00:00.000Z","49.9999","9.643"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1735.7382","2021-04-15T02:00:00.000Z","179.9998","8.6787"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2507.1774","2021-04-15T02:00:00.000Z","288.8886","8.3573"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3214.2841","2021-04-15T02:00:00.000Z","384.608","8.0357"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3857.196","2021-04-15T02:00:00.000Z","480.0075","7.7144"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.3791","2021-04-15T02:00:00.000Z","0","19.3791"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","968.954","2021-04-15T02:00:00.000Z","49.9999","9.6895"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1744.1172","2021-04-15T02:00:00.000Z","180.0007","8.7206"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2519.2804","2021-04-15T02:00:00.000Z","288.8884","8.3976"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3229.8005","2021-04-15T02:00:00.000Z","384.6099","8.0745"
"2023-05-02T08:07:40.927Z","Sentinel","jioindiawest","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3875.816","2021-04-15T02:00:00.000Z","480.0069","7.7516"
