"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.7719","2021-04-15T02:00:00.000Z","0","19.7719"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","988.596","2021-04-15T02:00:00.000Z","50.0001","9.886"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1779.4728","2021-04-15T02:00:00.000Z","179.9993","8.8974"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2570.3496","2021-04-15T02:00:00.000Z","288.8877","8.5678"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3295.2729","2021-04-15T02:00:00.000Z","384.6113","8.2382"
"2023-03-29T15:50:58.330Z","Sentinel","jioindiawest","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3954.384","2021-04-15T02:00:00.000Z","480.0058","7.9088"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.2588","2021-04-15T02:00:00.000Z","0","19.2588"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","962.941","2021-04-15T02:00:00.000Z","50.0001","9.6294"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1733.2938","2021-04-15T02:00:00.000Z","180.0002","8.6665"
"2023-04-12T13:28:34.468Z","Sentinel","jioindiawest","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2503.6466","2021-04-15T02:00:00.000Z","288.8879","8.3455"
