"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.0658","2019-09-24T01:00:00.000Z","0","19.0658"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","953.289","2019-09-24T01:00:00.000Z","49.9999","9.5329"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1715.9202","2019-09-24T01:00:00.000Z","179.9998","8.5796"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2478.5514","2019-09-24T01:00:00.000Z","288.8889","8.2618"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3177.63","2019-09-24T01:00:00.000Z","384.6172","7.9441"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3813.156","2019-09-24T01:00:00.000Z","479.9985","7.6263"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7435.6542","2021-06-01T01:00:00.000Z","975.0015","7.4357"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14108.6772","2021-06-01T01:00:00.000Z","1897.4242","7.0543"
"2023-03-29T14:50:58.330Z","Sentinel","koreacentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","33365.115","2021-06-01T01:00:00.000Z","4729.7556","6.673"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","18.571","2019-09-24T01:00:00.000Z","0","18.571"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","928.5502","2019-09-24T01:00:00.000Z","50","9.2855"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1671.3904","2019-09-24T01:00:00.000Z","180","8.357"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2414.2306","2019-09-24T01:00:00.000Z","288.8872","8.0474"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3095.1675","2019-09-24T01:00:00.000Z","384.6171","7.7379"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3714.201","2019-09-24T01:00:00.000Z","480.0012","7.4284"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7242.6919","2021-06-01T01:00:00.000Z","975.0003","7.2427"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13742.5437","2021-06-01T01:00:00.000Z","1897.4338","6.8713"
"2023-04-12T12:28:34.468Z","Sentinel","koreacentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","32499.2587","2021-06-01T01:00:00.000Z","4729.7103","6.4999"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","18.2247","2019-09-24T01:00:00.000Z","0","18.2247"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","911.2365","2019-09-24T01:00:00.000Z","50.0001","9.1124"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1640.2257","2019-09-24T01:00:00.000Z","179.9993","8.2011"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2369.2149","2019-09-24T01:00:00.000Z","288.8899","7.8974"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3037.455","2019-09-24T01:00:00.000Z","384.6146","7.5936"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3644.946","2019-09-24T01:00:00.000Z","480.0024","7.2899"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7107.6447","2021-06-01T01:00:00.000Z","974.9989","7.1076"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13486.3002","2021-06-01T01:00:00.000Z","1897.4478","6.7432"
"2023-05-02T07:07:40.927Z","Sentinel","koreacentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","31893.2775","2021-06-01T01:00:00.000Z","4729.6947","6.3787"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","39.6945","2023-07-01T01:00:00.000Z","0","39.6945"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","2730.1072","2023-07-01T01:00:00.000Z","68.778","27.3011"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","5054.3876","2023-07-01T01:00:00.000Z","185.1349","25.2719"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","7378.668","2023-07-01T01:00:00.000Z","291.9712","24.5956"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","9567.6728","2023-07-01T01:00:00.000Z","388.9994","23.9192"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","11667.5188","2023-07-01T01:00:00.000Z","487.7888","23.335"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","22873.8708","2023-07-01T01:00:00.000Z","980.2387","22.8739"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","44272.008","2023-07-01T01:00:00.000Z","1935.4814","22.136"
"2023-07-02T07:08:00.652Z","Sentinel","koreacentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","106529.5193","2023-07-01T01:00:00.000Z","4812.5009","21.3059"
