"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","327.324","2019-09-24T01:00:00.000Z","0","327.324"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","16366.2","2019-09-24T01:00:00.000Z","50","163.662"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","29459.16","2019-09-24T01:00:00.000Z","180","147.2958"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","42552.12","2019-09-24T01:00:00.000Z","288.8889","141.8404"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","54554","2019-09-24T01:00:00.000Z","384.6154","136.385"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","65464.8","2019-09-24T01:00:00.000Z","480","130.9296"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","127656.36","2021-06-01T01:00:00.000Z","975","127.6564"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","242219.76","2021-06-01T01:00:00.000Z","1897.4353","121.1099"
"2023-03-29T14:50:58.330Z","Sentinel","northcentralus","JPY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","572817","2021-06-01T01:00:00.000Z","4729.7289","114.5634"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","318.012","2019-09-24T01:00:00.000Z","0","318.012"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","15900.6","2019-09-24T01:00:00.000Z","50","159.006"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","28621.08","2019-09-24T01:00:00.000Z","180","143.1054"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","41341.56","2019-09-24T01:00:00.000Z","288.8889","137.8052"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","53002","2019-09-24T01:00:00.000Z","384.6154","132.505"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","63602.4","2019-09-24T01:00:00.000Z","480","127.2048"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","124024.68","2021-06-01T01:00:00.000Z","975","124.0247"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","235328.88","2021-06-01T01:00:00.000Z","1897.4356","117.6644"
"2023-04-12T12:28:34.468Z","Sentinel","northcentralus","JPY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","556521","2021-06-01T01:00:00.000Z","4729.7313","111.3042"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","320.028","2019-09-24T01:00:00.000Z","0","320.028"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","16001.4","2019-09-24T01:00:00.000Z","50","160.014"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","28802.52","2019-09-24T01:00:00.000Z","180","144.0126"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","41603.64","2019-09-24T01:00:00.000Z","288.8889","138.6788"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","53338","2019-09-24T01:00:00.000Z","384.6154","133.345"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","64005.6","2019-09-24T01:00:00.000Z","480","128.0112"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","124810.92","2021-06-01T01:00:00.000Z","975","124.8109"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","236820.72","2021-06-01T01:00:00.000Z","1897.4362","118.4104"
"2023-05-02T07:07:40.927Z","Sentinel","northcentralus","JPY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","560049","2021-06-01T01:00:00.000Z","4729.7281","112.0098"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","745.8522","2023-07-01T01:00:00.000Z","0","745.8522"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","49075.9184","2023-07-01T01:00:00.000Z","65.7984","490.7592"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","90797.3872","2023-07-01T01:00:00.000Z","185.0141","453.9869"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","132518.856","2023-07-01T01:00:00.000Z","291.9002","441.7295"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","171788.8416","2023-07-01T01:00:00.000Z","388.9005","429.4721"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","209416.796","2023-07-01T01:00:00.000Z","487.6144","418.8336"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","410507.8","2023-07-01T01:00:00.000Z","980.1215","410.5078"
"2023-07-02T07:08:00.652Z","Sentinel","northcentralus","JPY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","794188.048","2023-07-01T01:00:00.000Z","1934.6479","397.094"
