"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","18.6421","2022-07-05T02:00:00.000Z","0","18.6421"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","932.1048","2022-07-05T02:00:00.000Z","50","9.321"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1677.7886","2022-07-05T02:00:00.000Z","180.0009","8.3889"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2423.4725","2022-07-05T02:00:00.000Z","288.8904","8.0782"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3107.016","2022-07-05T02:00:00.000Z","384.6174","7.7675"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3728.4192","2022-07-05T02:00:00.000Z","480.0025","7.4568"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7270.4174","2022-07-05T02:00:00.000Z","975.005","7.2704"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13795.151","2022-07-05T02:00:00.000Z","1897.4404","6.8976"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","32623.668","2022-07-05T02:00:00.000Z","4729.7129","6.5247"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","18.1583","2022-07-05T02:00:00.000Z","0","18.1583"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","907.9158","2022-07-05T02:00:00.000Z","50","9.0792"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1634.2484","2022-07-05T02:00:00.000Z","179.9992","8.1712"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2360.5811","2022-07-05T02:00:00.000Z","288.8904","7.8686"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3026.386","2022-07-05T02:00:00.000Z","384.6156","7.566"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3631.6632","2022-07-05T02:00:00.000Z","479.9978","7.2633"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7081.7432","2022-07-05T02:00:00.000Z","975.0035","7.0817"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13437.1538","2022-07-05T02:00:00.000Z","1897.4475","6.7186"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","31777.053","2022-07-05T02:00:00.000Z","4729.7135","6.3554"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","17.8197","2022-07-05T02:00:00.000Z","0","17.8197"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","890.9868","2022-07-05T02:00:00.000Z","50.0001","8.9099"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1603.7762","2022-07-05T02:00:00.000Z","179.9993","8.0189"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2316.5657","2022-07-05T02:00:00.000Z","288.8882","7.7219"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","2969.956","2022-07-05T02:00:00.000Z","384.6147","7.4249"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3563.9472","2022-07-05T02:00:00.000Z","479.9994","7.1279"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","6949.697","2022-07-05T02:00:00.000Z","974.9992","6.9497"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13186.6046","2022-07-05T02:00:00.000Z","1897.4351","6.5933"
"2023-05-02T08:07:40.927Z","Sentinel","qatarcentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","31184.538","2022-07-05T02:00:00.000Z","4729.7314","6.2369"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","18.0367","2022-07-05T00:00:00.000Z","0","18.0367"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","901.8372","2022-07-05T00:00:00.000Z","50.0001","9.0184"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1623.307","2022-07-05T00:00:00.000Z","179.9994","8.1165"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2344.7767","2022-07-05T00:00:00.000Z","288.8901","7.8159"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3006.124","2022-07-05T00:00:00.000Z","384.6165","7.5153"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3607.3488","2022-07-05T00:00:00.000Z","480.0006","7.2147"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7034.3302","2022-07-05T00:00:00.000Z","974.9997","7.0343"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13347.1906","2022-07-05T00:00:00.000Z","1897.444","6.6736"
"2023-07-07T06:09:02.036Z","Sentinel","qatarcentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","31564.302","2022-07-05T00:00:00.000Z","4729.7264","6.3129"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","17.8985","2022-07-05T00:00:00.000Z","0","17.8985"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","894.927","2022-07-05T00:00:00.000Z","50.0001","8.9493"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1610.8686","2022-07-05T00:00:00.000Z","179.9994","8.0543"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2326.8102","2022-07-05T00:00:00.000Z","288.8904","7.7560"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","2983.09","2022-07-05T00:00:00.000Z","384.6171","7.4577"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3579.708","2022-07-05T00:00:00.000Z","480.0016","7.1594"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","6980.4306","2022-07-05T00:00:00.000Z","975.0022","6.9804"
"2023-08-01T06:08:30.007Z","Sentinel","qatarcentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13244.9196","2022-07-05T00:00:00.000Z","1897.4442","6.6225"
