"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4.3439","2019-09-24T02:00:00.000Z","0","4.3439"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","217.1973","2019-09-24T02:00:00.000Z","50.0005","2.172"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","390.9551","2019-09-24T02:00:00.000Z","179.9977","1.9548"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","564.698","2019-09-24T02:00:00.000Z","288.8776","1.8823"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","723.981","2019-09-24T02:00:00.000Z","384.6257","1.81"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","868.7891","2019-09-24T02:00:00.000Z","479.994","1.7376"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1694.1386","2021-06-01T02:00:00.000Z","974.9877","1.6941"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3214.5195","2021-06-01T02:00:00.000Z","1897.4792","1.6073"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","AUD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7601.9042","2021-06-01T02:00:00.000Z","4729.6113","1.5204"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","AUD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4.369","2019-09-24T02:00:00.000Z","0","4.369"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","AUD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","218.4484","2019-09-24T02:00:00.000Z","49.9996","2.1845"
