"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.77","2019-09-24T02:00:00.000Z","0","2.77"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","138.5002","2019-09-24T02:00:00.000Z","50.0001","1.385"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","249.3004","2019-09-24T02:00:00.000Z","180.0003","1.2465"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","360.0911","2019-09-24T02:00:00.000Z","288.8817","1.2003"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","461.6611","2019-09-24T02:00:00.000Z","384.6214","1.1542"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","554.0009","2019-09-24T02:00:00.000Z","479.9869","1.108"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1080.3017","2021-06-01T02:00:00.000Z","975.0015","1.0803"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2049.8032","2021-06-01T02:00:00.000Z","1897.4389","1.0249"
"2023-03-29T15:50:58.330Z","Sentinel","southafricanorth","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4847.5075","2021-06-01T02:00:00.000Z","4729.737","0.9695"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.696","2019-09-24T02:00:00.000Z","0","2.696"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","134.7983","2019-09-24T02:00:00.000Z","49.9994","1.348"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","242.6369","2019-09-24T02:00:00.000Z","179.9977","1.2132"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","350.4663","2019-09-24T02:00:00.000Z","288.8776","1.1682"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","449.3214","2019-09-24T02:00:00.000Z","384.6271","1.1233"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","539.1931","2019-09-24T02:00:00.000Z","480.0081","1.0784"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1051.4265","2021-06-01T02:00:00.000Z","974.9875","1.0514"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1995.0143","2021-06-01T02:00:00.000Z","1897.4836","0.9975"
"2023-04-12T13:28:34.468Z","Sentinel","southafricanorth","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4717.9392","2021-06-01T02:00:00.000Z","4729.7636","0.9436"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.6441","2019-09-24T02:00:00.000Z","0","2.6441"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","132.2045","2019-09-24T02:00:00.000Z","49.9998","1.322"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","237.968","2019-09-24T02:00:00.000Z","180.0061","1.1898"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","343.7226","2019-09-24T02:00:00.000Z","288.8911","1.1457"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","440.6755","2019-09-24T02:00:00.000Z","384.6343","1.1017"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","528.8179","2019-09-24T02:00:00.000Z","480.0017","1.0576"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1031.1948","2021-06-01T02:00:00.000Z","975.0329","1.0312"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1956.6261","2021-06-01T02:00:00.000Z","1897.4264","0.9783"
"2023-05-02T08:07:40.927Z","Sentinel","southafricanorth","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4627.1562","2021-06-01T02:00:00.000Z","4729.7927","0.9254"
"2023-07-07T06:09:02.036Z","Sentinel","southafricanorth","EUR","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","2.6788","2019-09-24T00:00:00.000Z","0","2.6788"
"2023-07-07T06:09:02.036Z","Sentinel","southafricanorth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","133.9388","2019-09-24T00:00:00.000Z","49.9996","1.3394"
"2023-07-07T06:09:02.036Z","Sentinel","southafricanorth","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","241.0899","2019-09-24T00:00:00.000Z","179.9984","1.2054"
"2023-07-07T06:09:02.036Z","Sentinel","southafricanorth","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","348.2317","2019-09-24T00:00:00.000Z","288.8931","1.1608"
"2023-07-07T06:09:02.036Z","Sentinel","southafricanorth","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","446.4566","2019-09-24T00:00:00.000Z","384.6111","1.1161"
"2023-07-07T06:09:02.036Z","Sentinel","southafricanorth","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","535.7552","2019-09-24T00:00:00.000Z","480.0244","1.0715"
