"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","22.5965","2020-10-01T02:00:00.000Z","0","22.5965"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1129.824","2020-10-01T02:00:00.000Z","50","11.2982"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2033.6832","2020-10-01T02:00:00.000Z","180.0006","10.1684"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2937.5424","2020-10-01T02:00:00.000Z","288.8893","9.7918"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3766.0565","2020-10-01T02:00:00.000Z","384.6133","9.4151"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4519.296","2020-10-01T02:00:00.000Z","480.0051","9.0386"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","8812.6272","2021-06-01T02:00:00.000Z","974.9991","8.8126"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","16721.3952","2021-06-01T02:00:00.000Z","1897.4418","8.3607"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","39543.84","2021-06-01T02:00:00.000Z","4729.7284","7.9088"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","22.0101","2020-10-01T02:00:00.000Z","0","22.0101"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1100.504","2020-10-01T02:00:00.000Z","50","11.005"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1980.9072","2020-10-01T02:00:00.000Z","180.0007","9.9045"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2861.3104","2020-10-01T02:00:00.000Z","288.8899","9.5377"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3668.3237","2020-10-01T02:00:00.000Z","384.613","9.1708"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4402.016","2020-10-01T02:00:00.000Z","480.0035","8.804"
