"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","436.432","2020-10-01T01:00:00.000Z","0","436.432"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","21821.6","2020-10-01T01:00:00.000Z","50","218.216"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","39278.88","2020-10-01T01:00:00.000Z","180","196.3944"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","56736.16","2020-10-01T01:00:00.000Z","288.8889","189.1205"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","72738.2121","2020-10-01T01:00:00.000Z","384.613","181.8455"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","87286.4","2020-10-01T01:00:00.000Z","480.0031","174.5728"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","170208.48","2021-06-01T01:00:00.000Z","975","170.2085"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","322959.68","2021-06-01T01:00:00.000Z","1897.4357","161.4798"
"2023-03-29T14:50:58.330Z","Sentinel","southafricawest","JPY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","763756","2021-06-01T01:00:00.000Z","4729.7309","152.7512"
"2023-04-12T12:28:34.468Z","Sentinel","southafricawest","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","424.016","2020-10-01T01:00:00.000Z","0","424.016"
"2023-04-12T12:28:34.468Z","Sentinel","southafricawest","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","21200.8","2020-10-01T01:00:00.000Z","50","212.008"
"2023-04-12T12:28:34.468Z","Sentinel","southafricawest","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","38161.44","2020-10-01T01:00:00.000Z","180","190.8072"
"2023-04-12T12:28:34.468Z","Sentinel","southafricawest","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","55122.08","2020-10-01T01:00:00.000Z","288.8889","183.7403"
