"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","33.3267","2020-10-01T02:00:00.000Z","0","33.3267"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1666.336","2020-10-01T02:00:00.000Z","50","16.6634"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2999.4048","2020-10-01T02:00:00.000Z","179.9996","14.997"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","4332.4736","2020-10-01T02:00:00.000Z","288.8894","14.4416"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","5554.4186","2020-10-01T02:00:00.000Z","384.6124","13.886"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","6665.344","2020-10-01T02:00:00.000Z","480.0046","13.3307"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","12997.4208","2021-06-01T02:00:00.000Z","974.9991","12.9974"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","24661.7728","2021-06-01T02:00:00.000Z","1897.4389","12.3309"
"2023-03-29T15:50:58.330Z","Sentinel","southafricawest","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","58321.76","2021-06-01T02:00:00.000Z","4729.7245","11.6644"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","33.3576","2020-10-01T02:00:00.000Z","0","33.3576"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1667.88","2020-10-01T02:00:00.000Z","50","16.6788"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","3002.184","2020-10-01T02:00:00.000Z","180","15.0109"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","4336.488","2020-10-01T02:00:00.000Z","288.8893","14.455"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","5559.5653","2020-10-01T02:00:00.000Z","384.6119","13.8989"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","6671.52","2020-10-01T02:00:00.000Z","480.0035","13.343"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","13009.464","2021-06-01T02:00:00.000Z","975.0029","13.0095"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","24684.624","2021-06-01T02:00:00.000Z","1897.4306","12.3423"
"2023-04-12T13:28:34.468Z","Sentinel","southafricawest","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","58375.8","2021-06-01T02:00:00.000Z","4729.7343","11.6752"
"2023-05-02T08:07:40.927Z","Sentinel","southafricawest","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","33.9906","2020-10-01T02:00:00.000Z","0","33.9906"
"2023-05-02T08:07:40.927Z","Sentinel","southafricawest","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1699.528","2020-10-01T02:00:00.000Z","49.9999","16.9953"
