"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","25.1803","2019-09-24T01:00:00.000Z","0","25.1803"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1259.016","2019-09-24T01:00:00.000Z","50","12.5902"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2266.2288","2019-09-24T01:00:00.000Z","179.9994","11.3311"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3273.4416","2019-09-24T01:00:00.000Z","288.89","10.9115"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4196.72","2019-09-24T01:00:00.000Z","384.6144","10.4918"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5036.064","2019-09-24T01:00:00.000Z","480","10.0721"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9820.3248","2021-06-01T01:00:00.000Z","975.0027","9.8203"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","18633.4368","2021-06-01T01:00:00.000Z","1897.4407","9.3167"
"2023-03-29T14:50:58.330Z","Sentinel","southcentralus","SEK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","44065.56","2021-06-01T01:00:00.000Z","4729.7391","8.8131"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","24.9906","2019-09-24T01:00:00.000Z","0","24.9906"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1249.53","2019-09-24T01:00:00.000Z","50","12.4953"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2249.154","2019-09-24T01:00:00.000Z","180","11.2458"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3248.778","2019-09-24T01:00:00.000Z","288.8881","10.8293"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4165.1","2019-09-24T01:00:00.000Z","384.614","10.4128"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4998.12","2019-09-24T01:00:00.000Z","479.9977","9.9962"
"2023-04-12T12:28:34.468Z","Sentinel","southcentralus","SEK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9746.334","2021-06-01T01:00:00.000Z","975.0039","9.7463"
