"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.4436","2021-10-01T01:00:00.000Z","0","2.4436"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","122.1805","2021-10-01T01:00:00.000Z","50.0002","1.2218"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","219.9249","2021-10-01T01:00:00.000Z","180.0007","1.0996"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","317.6693","2021-10-01T01:00:00.000Z","288.8953","1.0589"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","407.2652","2021-10-01T01:00:00.000Z","384.6116","1.0182"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","488.722","2021-10-01T01:00:00.000Z","479.9863","0.9774"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","953.0079","2021-06-08T01:00:00.000Z","975.0439","0.953"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1808.2714","2021-06-08T01:00:00.000Z","1897.4516","0.9041"
"2023-03-29T14:50:58.330Z","Sentinel","swedencentral","CHF","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4276.3175","2021-06-08T01:00:00.000Z","4729.9165","0.8553"
"2023-04-12T12:28:34.468Z","Sentinel","swedencentral","CHF","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.3907","2021-10-01T01:00:00.000Z","0","2.3907"
