"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","23.4716","2021-08-01T02:00:00.000Z","0","23.4716"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1173.5783","2021-08-01T02:00:00.000Z","49.9999","11.7358"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2112.4409","2021-08-01T02:00:00.000Z","179.9997","10.5622"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3051.3035","2021-08-01T02:00:00.000Z","288.889","10.171"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3911.9044","2021-08-01T02:00:00.000Z","384.6135","9.7798"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4694.313","2021-08-01T02:00:00.000Z","480.0009","9.3886"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9153.9104","2021-06-08T02:00:00.000Z","975.0027","9.1539"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","17368.9581","2021-06-08T02:00:00.000Z","1897.438","8.6845"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","41075.2388","2021-06-08T02:00:00.000Z","4729.7183","8.215"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","23.2809","2021-08-01T02:00:00.000Z","0","23.2809"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1164.0466","2021-08-01T02:00:00.000Z","50.0001","11.6405"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2095.284","2021-08-01T02:00:00.000Z","179.9995","10.4764"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3026.5213","2021-08-01T02:00:00.000Z","288.8894","10.0884"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3880.1325","2021-08-01T02:00:00.000Z","384.6133","9.7003"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4656.1866","2021-08-01T02:00:00.000Z","480.0044","9.3124"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9079.5639","2021-06-08T02:00:00.000Z","974.9972","9.0796"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","17227.8904","2021-06-08T02:00:00.000Z","1897.4283","8.6139"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","40741.6327","2021-06-08T02:00:00.000Z","4729.7545","8.1483"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","23.3933","2021-08-01T02:00:00.000Z","0","23.3933"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1169.6659","2021-08-01T02:00:00.000Z","50","11.6967"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2105.3986","2021-08-01T02:00:00.000Z","179.9994","10.527"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3041.1313","2021-08-01T02:00:00.000Z","288.8887","10.1371"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3898.8633","2021-08-01T02:00:00.000Z","384.6133","9.7472"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4678.6636","2021-08-01T02:00:00.000Z","480.0008","9.3573"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9123.394","2021-06-08T02:00:00.000Z","975.0028","9.1234"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","17311.0553","2021-06-08T02:00:00.000Z","1897.4347","8.6555"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","40938.3065","2021-06-08T02:00:00.000Z","4729.7448","8.1877"
