"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","469.1644","2020-09-01T02:00:00.000Z","0","469.1644"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","23458.22","2020-09-01T02:00:00.000Z","50","234.5822"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","42224.796","2020-09-01T02:00:00.000Z","180","211.124"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","60991.372","2020-09-01T02:00:00.000Z","288.8889","203.3046"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","78193.6121","2020-09-01T02:00:00.000Z","384.6131","195.484"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","93832.88","2020-09-01T02:00:00.000Z","480.0029","187.6658"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","182974.116","2021-06-01T02:00:00.000Z","974.9998","182.9741"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","347181.656","2021-06-01T02:00:00.000Z","1897.4361","173.5908"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","JPY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","821037.7","2021-06-01T02:00:00.000Z","4729.7305","164.2075"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","JPY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","455.8172","2020-09-01T02:00:00.000Z","0","455.8172"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","JPY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","22790.86","2020-09-01T02:00:00.000Z","50","227.9086"
