"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","5.5867","2020-09-01T02:00:00.000Z","0","5.5867"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","279.3341","2020-09-01T02:00:00.000Z","49.9998","2.7933"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","502.8015","2020-09-01T02:00:00.000Z","180.0027","2.514"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","726.2688","2020-09-01T02:00:00.000Z","288.8897","2.4209"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","931.1084","2020-09-01T02:00:00.000Z","384.6125","2.3278"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","1117.3366","2020-09-01T02:00:00.000Z","479.9968","2.2347"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2178.8063","2021-06-01T02:00:00.000Z","974.9883","2.1788"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4134.1454","2021-06-01T02:00:00.000Z","1897.4414","2.0671"
"2023-03-29T15:50:58.330Z","Sentinel","uaecentral","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9776.6951","2021-06-01T02:00:00.000Z","4729.6672","1.9553"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","5.5265","2020-09-01T02:00:00.000Z","0","5.5265"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","276.3274","2020-09-01T02:00:00.000Z","50.0004","2.7633"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","497.3893","2020-09-01T02:00:00.000Z","179.9983","2.4869"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","718.4513","2020-09-01T02:00:00.000Z","288.8943","2.3948"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","921.086","2020-09-01T02:00:00.000Z","384.6192","2.3027"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","1105.3097","2020-09-01T02:00:00.000Z","480.0059","2.2106"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2155.3538","2021-06-01T02:00:00.000Z","975.0085","2.1554"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4089.6458","2021-06-01T02:00:00.000Z","1897.3953","2.0448"
"2023-04-12T13:28:34.468Z","Sentinel","uaecentral","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9671.4596","2021-06-01T02:00:00.000Z","4729.7827","1.9343"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","5.614","2020-09-01T02:00:00.000Z","0","5.614"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","280.7018","2020-09-01T02:00:00.000Z","50.0003","2.807"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","505.2632","2020-09-01T02:00:00.000Z","180.0011","2.5263"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","729.8246","2020-09-01T02:00:00.000Z","288.8907","2.4327"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","935.6671","2020-09-01T02:00:00.000Z","384.6208","2.3392"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","1122.807","2020-09-01T02:00:00.000Z","479.9962","2.2456"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2189.4737","2021-06-01T02:00:00.000Z","975.0061","2.1895"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4154.386","2021-06-01T02:00:00.000Z","1897.4131","2.0772"
"2023-05-02T08:07:40.927Z","Sentinel","uaecentral","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9824.5614","2021-06-01T02:00:00.000Z","4729.7137","1.9649"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.6584","2020-09-01T00:00:00.000Z","0","5.6584"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","282.918","2020-09-01T00:00:00.000Z","49.9996","2.8292"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","509.2524","2020-09-01T00:00:00.000Z","179.9987","2.5463"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","735.5868","2020-09-01T00:00:00.000Z","288.8846","2.452"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","943.0545","2020-09-01T00:00:00.000Z","384.6062","2.3576"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","1131.672","2020-09-01T00:00:00.000Z","480.0102","2.2633"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2206.7604","2021-06-01T00:00:00.000Z","975.019","2.2068"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4187.1864","2021-06-01T00:00:00.000Z","1897.4018","2.0936"
"2023-07-07T06:09:02.036Z","Sentinel","uaecentral","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9902.1301","2021-06-01T00:00:00.000Z","4729.7144","1.9804"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.5524","2020-09-01T00:00:00.000Z","0","5.5524"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","277.6209","2020-09-01T00:00:00.000Z","50.0002","2.7762"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","499.7175","2020-09-01T00:00:00.000Z","180.0005","2.4986"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","721.8142","2020-09-01T00:00:00.000Z","288.8875","2.4060"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","925.3975","2020-09-01T00:00:00.000Z","384.6207","2.3135"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","1110.4834","2020-09-01T00:00:00.000Z","480.0015","2.2210"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2165.4427","2021-06-01T00:00:00.000Z","974.9855","2.1654"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4108.7886","2021-06-01T00:00:00.000Z","1897.4733","2.0544"
"2023-08-01T06:08:30.007Z","Sentinel","uaecentral","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9716.7299","2021-06-01T00:00:00.000Z","4729.7167","1.9433"
