"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4.255","2019-09-24T01:00:00.000Z","0","4.255"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","212.7487","2019-09-24T01:00:00.000Z","49.9997","2.1275"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","382.9476","2019-09-24T01:00:00.000Z","179.9989","1.9147"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","553.1466","2019-09-24T01:00:00.000Z","288.8947","1.8438"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","709.1514","2019-09-24T01:00:00.000Z","384.6141","1.7729"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","850.9947","2019-09-24T01:00:00.000Z","480.0015","1.702"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1659.4397","2021-06-01T01:00:00.000Z","974.9939","1.6594"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3148.6805","2021-06-01T01:00:00.000Z","1897.4813","1.5743"
"2023-03-29T14:50:58.330Z","Sentinel","ukwest","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7446.2038","2021-06-01T01:00:00.000Z","4729.8506","1.4892"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4.2092","2019-09-24T01:00:00.000Z","0","4.2092"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","210.4587","2019-09-24T01:00:00.000Z","49.9997","2.1046"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","378.8256","2019-09-24T01:00:00.000Z","179.9989","1.8941"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","547.1925","2019-09-24T01:00:00.000Z","288.8931","1.824"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","701.5182","2019-09-24T01:00:00.000Z","384.6043","1.7538"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","841.8347","2019-09-24T01:00:00.000Z","480.0061","1.6837"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1641.5776","2021-06-01T01:00:00.000Z","974.9822","1.6416"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3114.7883","2021-06-01T01:00:00.000Z","1897.41","1.5574"
"2023-04-12T12:28:34.468Z","Sentinel","ukwest","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7366.0535","2021-06-01T01:00:00.000Z","4729.712","1.4732"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4.2758","2019-09-24T01:00:00.000Z","0","4.2758"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","213.7903","2019-09-24T01:00:00.000Z","50.0001","2.1379"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","384.8225","2019-09-24T01:00:00.000Z","180.0002","1.9241"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","555.8548","2019-09-24T01:00:00.000Z","288.8908","1.8528"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","712.6234","2019-09-24T01:00:00.000Z","384.6197","1.7816"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","855.1612","2019-09-24T01:00:00.000Z","479.9962","1.7103"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1667.5643","2021-06-01T01:00:00.000Z","975.0127","1.6676"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3164.0963","2021-06-01T01:00:00.000Z","1897.3952","1.582"
"2023-05-02T07:07:40.927Z","Sentinel","ukwest","NZD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7482.6601","2021-06-01T01:00:00.000Z","4729.8736","1.4965"
"2023-07-02T07:08:00.652Z","Sentinel","ukwest","NZD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","9.0468","2023-07-01T01:00:00.000Z","0","9.0468"
"2023-07-02T07:08:00.652Z","Sentinel","ukwest","NZD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","631.3677","2023-07-01T01:00:00.000Z","69.7891","6.3137"
"2023-07-02T07:08:00.652Z","Sentinel","ukwest","NZD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1168.7145","2023-07-01T01:00:00.000Z","185.1077","5.8436"
