"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","79.8301","2019-09-24T02:00:00.000Z","0","79.8301"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3991.5045","2019-09-24T02:00:00.000Z","50","39.915"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7184.7081","2019-09-24T02:00:00.000Z","180.0002","35.9235"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10377.9117","2019-09-24T02:00:00.000Z","288.8892","34.593"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13304.8119","2019-09-24T02:00:00.000Z","384.6099","33.262"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15966.018","2019-09-24T02:00:00.000Z","480.0078","31.932"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31133.7351","2021-06-01T02:00:00.000Z","975.0011","31.1337"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","59074.2666","2021-06-01T02:00:00.000Z","1897.438","29.5371"
"2023-03-29T15:50:58.330Z","Sentinel","ukwest","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","139702.6575","2021-06-01T02:00:00.000Z","4729.7351","27.9405"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","79.7436","2019-09-24T02:00:00.000Z","0","79.7436"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3987.1815","2019-09-24T02:00:00.000Z","50","39.8718"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7176.9267","2019-09-24T02:00:00.000Z","180.0001","35.8846"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10366.6719","2019-09-24T02:00:00.000Z","288.8892","34.5556"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13290.4021","2019-09-24T02:00:00.000Z","384.6092","33.226"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15948.726","2019-09-24T02:00:00.000Z","480.0074","31.8975"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31100.0157","2021-06-01T02:00:00.000Z","974.9985","31.1"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","59010.2862","2021-06-01T02:00:00.000Z","1897.4369","29.5051"
"2023-04-12T13:28:34.468Z","Sentinel","ukwest","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","139551.3525","2021-06-01T02:00:00.000Z","4729.7366","27.9103"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","80.5021","2019-09-24T02:00:00.000Z","0","80.5021"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","4025.106","2019-09-24T02:00:00.000Z","50","40.2511"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7245.1908","2019-09-24T02:00:00.000Z","179.9998","36.226"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10465.2756","2019-09-24T02:00:00.000Z","288.8885","34.8843"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13416.8152","2019-09-24T02:00:00.000Z","384.609","33.542"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","16100.424","2019-09-24T02:00:00.000Z","480.0079","32.2008"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31395.8268","2021-06-01T02:00:00.000Z","975.0015","31.3958"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","59571.5688","2021-06-01T02:00:00.000Z","1897.4375","29.7858"
"2023-05-02T08:07:40.927Z","Sentinel","ukwest","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","140878.71","2021-06-01T02:00:00.000Z","4729.7273","28.1757"
