"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","76.1737","2019-09-24T02:00:00.000Z","0","76.1737"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3808.6875","2019-09-24T02:00:00.000Z","50","38.0869"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","6855.6375","2019-09-24T02:00:00.000Z","179.9999","34.2782"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","9902.5875","2019-09-24T02:00:00.000Z","288.8888","33.0086"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","12695.4219","2019-09-24T02:00:00.000Z","384.6095","31.7386"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15234.75","2019-09-24T02:00:00.000Z","480.007","30.4695"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","29707.7625","2021-06-01T02:00:00.000Z","975","29.7078"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","56368.575","2021-06-01T02:00:00.000Z","1897.4335","28.1843"
"2023-03-29T15:50:58.330Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","133304.0625","2021-06-01T02:00:00.000Z","4729.7276","26.6608"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","76.0912","2019-09-24T02:00:00.000Z","0","76.0912"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3804.5625","2019-09-24T02:00:00.000Z","50","38.0456"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","6848.2125","2019-09-24T02:00:00.000Z","180.0001","34.2411"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","9891.8625","2019-09-24T02:00:00.000Z","288.8886","32.9729"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","12681.6721","2019-09-24T02:00:00.000Z","384.6089","31.7042"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15218.25","2019-09-24T02:00:00.000Z","480.0074","30.4365"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","29675.5875","2021-06-01T02:00:00.000Z","975","29.6756"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","56307.525","2021-06-01T02:00:00.000Z","1897.4351","28.1538"
"2023-04-12T13:28:34.468Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","133159.6875","2021-06-01T02:00:00.000Z","4729.7234","26.6319"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","76.815","2019-09-24T02:00:00.000Z","0","76.815"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3840.75","2019-09-24T02:00:00.000Z","50","38.4075"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","6913.35","2019-09-24T02:00:00.000Z","180","34.5668"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","9985.95","2019-09-24T02:00:00.000Z","288.8885","33.2865"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","12802.2952","2019-09-24T02:00:00.000Z","384.6092","32.0057"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15363","2019-09-24T02:00:00.000Z","480.0082","30.726"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","29957.85","2021-06-01T02:00:00.000Z","975","29.9578"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","56843.1","2021-06-01T02:00:00.000Z","1897.4391","28.4216"
"2023-05-02T08:07:40.927Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","134426.25","2021-06-01T02:00:00.000Z","4729.7214","26.8852"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","77.665","2019-09-24T00:00:00.000Z","0","77.665"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3883.25","2019-09-24T00:00:00.000Z","50","38.8325"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","6989.85","2019-09-24T00:00:00.000Z","180","34.9492"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10096.45","2019-09-24T00:00:00.000Z","288.8893","33.6548"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","12943.9596","2019-09-24T00:00:00.000Z","384.6096","32.3599"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15533","2019-09-24T00:00:00.000Z","480.0077","31.066"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30289.35","2021-06-01T00:00:00.000Z","975","30.2894"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","57472.1","2021-06-01T00:00:00.000Z","1897.4328","28.736"
"2023-07-07T06:09:02.036Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","135913.75","2021-06-01T00:00:00.000Z","4729.738","27.1828"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","78.0975","2019-09-24T00:00:00.000Z","0","78.0975"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3904.875","2019-09-24T00:00:00.000Z","50","39.0488"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7028.775","2019-09-24T00:00:00.000Z","179.9998","35.1439"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10152.675","2019-09-24T00:00:00.000Z","288.8887","33.8422"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13016.0417","2019-09-24T00:00:00.000Z","384.6098","32.5401"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15619.5","2019-09-24T00:00:00.000Z","480.0077","31.239"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30458.025","2021-06-01T00:00:00.000Z","975","30.458"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","57792.15","2021-06-01T00:00:00.000Z","1897.4375","28.8961"
"2023-08-01T06:08:30.007Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","136670.625","2021-06-01T00:00:00.000Z","4729.7256","27.3341"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","79.7163","2019-09-24T00:00:00.000Z","0","79.7163"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3985.8125","2019-09-24T00:00:00.000Z","50","39.8581"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7174.4625","2019-09-24T00:00:00.000Z","180.0001","35.8723"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10363.1125","2019-09-24T00:00:00.000Z","288.889","34.5437"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13285.8291","2019-09-24T00:00:00.000Z","384.6093","33.2146"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15943.25","2019-09-24T00:00:00.000Z","480.0073","31.8865"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31089.3375","2021-06-01T00:00:00.000Z","975","31.0893"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","58990.025","2021-06-01T00:00:00.000Z","1897.4382","29.495"
"2023-09-02T06:07:00.316Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","139503.4375","2021-06-01T00:00:00.000Z","4729.7317","27.9007"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","80.6325","2019-09-24T00:00:00.000Z","0","80.6325"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","4031.625","2019-09-24T00:00:00.000Z","50","40.3162"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7256.925","2019-09-24T00:00:00.000Z","180.0002","36.2846"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10482.225","2019-09-24T00:00:00.000Z","288.8891","34.9408"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13438.535","2019-09-24T00:00:00.000Z","384.6087","33.5963"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","16126.5","2019-09-24T00:00:00.000Z","480.0082","32.253"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31446.675","2021-06-01T00:00:00.000Z","975","31.4467"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","59668.05","2021-06-01T00:00:00.000Z","1897.4344","29.834"
"2023-10-02T06:08:46.154Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","141106.875","2021-06-01T00:00:00.000Z","4729.7337","28.2214"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","81.09","2019-09-24T00:00:00.000Z","0","81.09"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","4054.5","2019-09-24T00:00:00.000Z","50","40.545"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7298.1","2019-09-24T00:00:00.000Z","180","36.4905"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10541.7","2019-09-24T00:00:00.000Z","288.8889","35.139"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13514.7838","2019-09-24T00:00:00.000Z","384.6092","33.787"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","16218","2019-09-24T00:00:00.000Z","480.0071","32.436"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31625.1","2021-06-01T00:00:00.000Z","975","31.6251"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","60006.6","2021-06-01T00:00:00.000Z","1897.4359","30.0033"
"2023-11-02T06:08:26.681Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","141907.5","2021-06-01T00:00:00.000Z","4729.7297","28.3815"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","78.665","2019-09-24T00:00:00.000Z","0","78.665"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3933.25","2019-09-24T00:00:00.000Z","50","39.3325"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7079.85","2019-09-24T00:00:00.000Z","180","35.3992"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10226.45","2019-09-24T00:00:00.000Z","288.8893","34.0882"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13110.6236","2019-09-24T00:00:00.000Z","384.6089","32.7766"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15733","2019-09-24T00:00:00.000Z","480.0071","31.466"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30679.35","2021-06-01T00:00:00.000Z","975","30.6794"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","58212.1","2021-06-01T00:00:00.000Z","1897.4328","29.106"
"2023-12-02T06:07:58.693Z","Sentinel","usgovvirginia","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","137663.75","2021-06-01T00:00:00.000Z","4729.7379","27.5328"
"2024-01-01T06:09:20.544Z","Sentinel","usgovvirginia","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","77.24","2019-09-24T00:00:00.000Z","0","77.24"
"2024-01-01T06:09:20.544Z","Sentinel","usgovvirginia","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3862","2019-09-24T00:00:00.000Z","50","38.62"
"2024-01-01T06:09:20.544Z","Sentinel","usgovvirginia","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","6951.6","2019-09-24T00:00:00.000Z","180","34.758"
