"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","79.2207","2019-09-24T02:00:00.000Z","0","79.2207"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3961.035","2019-09-24T02:00:00.000Z","50","39.6104"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7129.863","2019-09-24T02:00:00.000Z","179.9998","35.6493"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10298.691","2019-09-24T02:00:00.000Z","288.889","34.329"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13203.3484","2019-09-24T02:00:00.000Z","384.6121","33.0084"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15844.14","2019-09-24T02:00:00.000Z","480.0033","31.6883"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30896.073","2021-06-01T02:00:00.000Z","974.9994","30.8961"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","58623.318","2021-06-01T02:00:00.000Z","1897.4342","29.3117"
"2023-03-29T15:50:58.330Z","Sentinel","westus","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","138636.225","2021-06-01T02:00:00.000Z","4729.7231","27.7272"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","79.1349","2019-09-24T02:00:00.000Z","0","79.1349"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3956.745","2019-09-24T02:00:00.000Z","50","39.5674"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7122.141","2019-09-24T02:00:00.000Z","180.0002","35.6107"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10287.537","2019-09-24T02:00:00.000Z","288.8889","34.2918"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13189.0485","2019-09-24T02:00:00.000Z","384.6123","32.9726"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15826.98","2019-09-24T02:00:00.000Z","480.004","31.654"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30862.611","2021-06-01T02:00:00.000Z","974.9988","30.8626"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","58559.826","2021-06-01T02:00:00.000Z","1897.4366","29.2799"
"2023-04-12T13:28:34.468Z","Sentinel","westus","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","138486.075","2021-06-01T02:00:00.000Z","4729.7318","27.6972"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","79.8876","2019-09-24T02:00:00.000Z","0","79.8876"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3994.38","2019-09-24T02:00:00.000Z","50","39.9438"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7189.884","2019-09-24T02:00:00.000Z","180","35.9494"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10385.388","2019-09-24T02:00:00.000Z","288.889","34.618"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13314.4976","2019-09-24T02:00:00.000Z","384.612","33.2862"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","15977.52","2019-09-24T02:00:00.000Z","480.0043","31.955"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31156.164","2021-06-01T02:00:00.000Z","975.0012","31.1562"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","59116.824","2021-06-01T02:00:00.000Z","1897.4337","29.5584"
"2023-05-02T08:07:40.927Z","Sentinel","westus","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","139803.3","2021-06-01T02:00:00.000Z","4729.7316","27.9607"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","80.7716","2019-09-24T00:00:00.000Z","0","80.7716"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","4038.58","2019-09-24T00:00:00.000Z","50","40.3858"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7269.444","2019-09-24T00:00:00.000Z","180","36.3472"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","10500.308","2019-09-24T00:00:00.000Z","288.8890","35.0010"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","13461.8298","2019-09-24T00:00:00.000Z","384.6127","33.6546"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","16154.32","2019-09-24T00:00:00.000Z","480.0033","32.3086"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31500.924","2021-06-01T00:00:00.000Z","975.0012","31.5009"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","59770.984","2021-06-01T00:00:00.000Z","1897.4373","29.8855"
"2023-07-07T06:09:02.036Z","Sentinel","westus","TWD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","141350.3","2021-06-01T00:00:00.000Z","4729.7285","28.2701"
