"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","Pay-as-you-go","1 GB","3.9568","2020-09-01T00:00:00.000Z","0","3.9568"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","100","1/Day","197.838","2020-09-01T00:00:00.000Z","49.9995","1.9784"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","200","1/Day","356.1084","2020-11-01T00:00:00.000Z","179.9982","1.7805"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","300","1/Day","514.3788","2020-11-01T00:00:00.000Z","288.8957","1.7146"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","400","1/Day","659.4555","2020-09-01T00:00:00.000Z","384.6119","1.6486"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","500","1/Day","791.352","2020-09-01T00:00:00.000Z","480.0146","1.5827"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","1000","1/Day","1543.1364","2021-06-01T00:00:00.000Z","975.0025","1.5431"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","2000","1/Day","2928.0024","2021-06-01T00:00:00.000Z","1897.4807","1.464"
"2023-03-29T13:50:58.330Z","Sentinel","australiacentral2","CAD","5000","1/Day","6924.33","2021-06-01T00:00:00.000Z","4729.7336","1.3849"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","Pay-as-you-go","1 GB","3.9398","2020-09-01T00:00:00.000Z","0","3.9398"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","100","1/Day","196.9898","2020-09-01T00:00:00.000Z","49.9999","1.9699"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","200","1/Day","354.5816","2020-11-01T00:00:00.000Z","179.9998","1.7729"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","300","1/Day","512.1734","2020-11-01T00:00:00.000Z","288.8902","1.7072"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","400","1/Day","656.628","2020-09-01T00:00:00.000Z","384.6228","1.6416"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","500","1/Day","787.959","2020-09-01T00:00:00.000Z","479.9945","1.5759"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","1000","1/Day","1536.5201","2021-06-01T00:00:00.000Z","975.0112","1.5365"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","2000","1/Day","2915.4483","2021-06-01T00:00:00.000Z","1897.4607","1.4577"
"2023-04-12T11:28:34.468Z","Sentinel","australiacentral2","CAD","5000","1/Day","6894.6413","2021-06-01T00:00:00.000Z","4729.8081","1.3789"
