"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","Pay-as-you-go","1 GB","213.36","2019-09-24T00:00:00.000Z","0","213.36"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","100","1/Day","10668","2019-09-24T00:00:00.000Z","50","106.68"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","200","1/Day","19202.4","2019-09-24T00:00:00.000Z","180","96.012"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","300","1/Day","27736.8","2019-09-24T00:00:00.000Z","288.8889","92.456"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","400","1/Day","35559.492","2019-09-24T00:00:00.000Z","384.6099","88.8987"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","500","1/Day","42672","2019-09-24T00:00:00.000Z","480.007","85.344"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","1000","1/Day","83210.4","2021-06-01T00:00:00.000Z","975","83.2104"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","2000","1/Day","157886.4","2021-06-01T00:00:00.000Z","1897.4359","78.9432"
"2023-03-29T13:50:58.330Z","Sentinel","australiasoutheast","RUB","5000","1/Day","373380","2021-06-01T00:00:00.000Z","4729.7297","74.676"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","Pay-as-you-go","1 GB","216.3","2019-09-24T00:00:00.000Z","0","216.3"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","100","1/Day","10815","2019-09-24T00:00:00.000Z","50","108.15"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","200","1/Day","19467","2019-09-24T00:00:00.000Z","180","97.335"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","300","1/Day","28119","2019-09-24T00:00:00.000Z","288.8889","93.73"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","400","1/Day","36049.485","2019-09-24T00:00:00.000Z","384.6099","90.1237"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","500","1/Day","43260","2019-09-24T00:00:00.000Z","480.0069","86.52"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","1000","1/Day","84357","2021-06-01T00:00:00.000Z","975","84.357"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","2000","1/Day","160062","2021-06-01T00:00:00.000Z","1897.4359","80.031"
"2023-04-12T11:28:34.468Z","Sentinel","australiasoutheast","RUB","5000","1/Day","378525","2021-06-01T00:00:00.000Z","4729.7297","75.705"
