"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","Pay-as-you-go","1 GB","6.8432","2020-10-01T00:00:00.000Z","0","6.8432"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","100","1/Day","342.1601","2020-10-01T00:00:00.000Z","50","3.4216"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","200","1/Day","615.8881","2020-10-01T00:00:00.000Z","180","3.0794"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","300","1/Day","889.6162","2020-10-01T00:00:00.000Z","288.8927","2.9654"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","400","1/Day","1140.5237","2020-10-01T00:00:00.000Z","384.6104","2.8513"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","500","1/Day","1368.6403","2020-10-01T00:00:00.000Z","480.0057","2.7373"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","1000","1/Day","2668.8486","2021-06-01T00:00:00.000Z","974.9931","2.6688"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","2000","1/Day","5063.9691","2021-06-01T00:00:00.000Z","1897.4704","2.532"
"2023-03-29T13:50:58.330Z","Sentinel","brazilsoutheast","AUD","5000","1/Day","11975.6025","2021-06-01T00:00:00.000Z","4729.7008","2.3951"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","Pay-as-you-go","1 GB","6.8826","2020-10-01T00:00:00.000Z","0","6.8826"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","100","1/Day","344.1311","2020-10-01T00:00:00.000Z","50.0002","3.4413"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","200","1/Day","619.4359","2020-10-01T00:00:00.000Z","180.0006","3.0972"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","300","1/Day","894.7408","2020-10-01T00:00:00.000Z","288.887","2.9825"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","400","1/Day","1147.0936","2020-10-01T00:00:00.000Z","384.6081","2.8677"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","500","1/Day","1376.5243","2020-10-01T00:00:00.000Z","480.0099","2.753"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","1000","1/Day","2684.2223","2021-06-01T00:00:00.000Z","975.0172","2.6842"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","2000","1/Day","5093.1398","2021-06-01T00:00:00.000Z","1897.4517","2.5466"
"2023-04-12T11:28:34.468Z","Sentinel","brazilsoutheast","AUD","5000","1/Day","12044.5874","2021-06-01T00:00:00.000Z","4729.6738","2.4089"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","Pay-as-you-go","1 GB","6.9607","2020-10-01T00:00:00.000Z","0","6.9607"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","100","1/Day","348.0366","2020-10-01T00:00:00.000Z","50.0002","3.4804"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","200","1/Day","626.4659","2020-10-01T00:00:00.000Z","179.9982","3.1323"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","300","1/Day","904.8952","2020-10-01T00:00:00.000Z","288.8916","3.0163"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","400","1/Day","1160.112","2020-10-01T00:00:00.000Z","384.6143","2.9003"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","500","1/Day","1392.1465","2020-10-01T00:00:00.000Z","480.0009","2.7843"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","1000","1/Day","2714.6856","2021-06-01T00:00:00.000Z","974.9975","2.7147"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","2000","1/Day","5150.942","2021-06-01T00:00:00.000Z","1897.4259","2.5755"
"2023-05-02T06:07:40.927Z","Sentinel","brazilsoutheast","AUD","5000","1/Day","12181.2817","2021-06-01T00:00:00.000Z","4729.6765","2.4363"
