"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","Pay-as-you-go","1 GB","2.3451","2019-09-24T00:00:00.000Z","0","2.3451"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","100","1/Day","117.2529","2019-09-24T00:00:00.000Z","49.9991","1.1725"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","200","1/Day","211.0553","2019-09-24T00:00:00.000Z","180.0045","1.0553"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","300","1/Day","304.8576","2019-09-24T00:00:00.000Z","288.8824","1.0162"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","400","1/Day","390.8375","2019-09-24T00:00:00.000Z","384.6069","0.9771"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","500","1/Day","469.0117","2019-09-24T00:00:00.000Z","480.0038","0.938"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","1000","1/Day","914.5729","2021-06-01T00:00:00.000Z","975.0244","0.9146"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","2000","1/Day","1735.3434","2021-06-01T00:00:00.000Z","1897.3796","0.8677"
"2023-03-29T13:50:58.330Z","Sentinel","centralindia","GBP","5000","1/Day","4103.8526","2021-06-01T00:00:00.000Z","4729.5754","0.8208"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","Pay-as-you-go","1 GB","2.2745","2019-09-24T00:00:00.000Z","0","2.2745"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","100","1/Day","113.7241","2019-09-24T00:00:00.000Z","49.9996","1.1372"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","200","1/Day","204.7033","2019-09-24T00:00:00.000Z","180.0064","1.0235"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","300","1/Day","295.6825","2019-09-24T00:00:00.000Z","288.8935","0.9856"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","400","1/Day","379.0748","2019-09-24T00:00:00.000Z","384.6132","0.9477"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","500","1/Day","454.8962","2019-09-24T00:00:00.000Z","480.0002","0.9098"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","1000","1/Day","887.0476","2021-06-01T00:00:00.000Z","974.9919","0.887"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","2000","1/Day","1683.116","2021-06-01T00:00:00.000Z","1897.5378","0.8416"
"2023-04-12T11:28:34.468Z","Sentinel","centralindia","GBP","5000","1/Day","3980.342","2021-06-01T00:00:00.000Z","4729.4938","0.7961"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","Pay-as-you-go","1 GB","2.2456","2019-09-24T00:00:00.000Z","0","2.2456"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","100","1/Day","112.2785","2019-09-24T00:00:00.000Z","49.9993","1.1228"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","200","1/Day","202.1012","2019-09-24T00:00:00.000Z","179.9975","1.0105"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","300","1/Day","291.924","2019-09-24T00:00:00.000Z","288.8906","0.9731"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","400","1/Day","374.2562","2019-09-24T00:00:00.000Z","384.6020","0.9356"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","500","1/Day","449.1138","2019-09-24T00:00:00.000Z","480.0276","0.8982"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","1000","1/Day","875.7719","2021-06-01T00:00:00.000Z","975.0299","0.8758"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","2000","1/Day","1661.7211","2021-06-01T00:00:00.000Z","1897.3751","0.8309"
"2023-05-02T06:07:40.927Z","Sentinel","centralindia","GBP","5000","1/Day","3929.7458","2021-06-01T00:00:00.000Z","4729.5051","0.7859"
