"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","Pay-as-you-go","1 GB","3.6596","2019-09-24T00:00:00.000Z","0","3.6596"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","100","1/Day","182.9813","2019-09-24T00:00:00.000Z","50.0004","1.8298"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","200","1/Day","329.3663","2019-09-24T00:00:00.000Z","180.0013","1.6468"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","300","1/Day","475.7513","2019-09-24T00:00:00.000Z","288.8944","1.5858"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","400","1/Day","609.9375","2019-09-24T00:00:00.000Z","384.6245","1.5248"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","500","1/Day","731.925","2019-09-24T00:00:00.000Z","480.0138","1.4638"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","1000","1/Day","1427.2538","2021-06-01T00:00:00.000Z","975.0333","1.4273"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","2000","1/Day","2708.1226","2021-06-01T00:00:00.000Z","1897.3745","1.3541"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","AUD","5000","1/Day","6404.3439","2021-06-01T00:00:00.000Z","4729.5945","1.2809"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","Pay-as-you-go","1 GB","3.6807","2019-09-24T00:00:00.000Z","0","3.6807"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","100","1/Day","184.0353","2019-09-24T00:00:00.000Z","50.0001","1.8404"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","200","1/Day","331.2636","2019-09-24T00:00:00.000Z","179.9954","1.6563"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","300","1/Day","478.4918","2019-09-24T00:00:00.000Z","288.892","1.595"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","400","1/Day","613.451","2019-09-24T00:00:00.000Z","384.6088","1.5336"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","500","1/Day","736.1412","2019-09-24T00:00:00.000Z","480.0086","1.4723"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","1000","1/Day","1435.4754","2021-06-01T00:00:00.000Z","974.9884","1.4355"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","2000","1/Day","2723.7226","2021-06-01T00:00:00.000Z","1897.4034","1.3619"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","AUD","5000","1/Day","6441.2359","2021-06-01T00:00:00.000Z","4729.5953","1.2882"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","Pay-as-you-go","1 GB","3.7225","2019-09-24T00:00:00.000Z","0","3.7225"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","100","1/Day","186.1239","2019-09-24T00:00:00.000Z","49.9997","1.8612"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","200","1/Day","335.0231","2019-09-24T00:00:00.000Z","180.0038","1.6751"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","300","1/Day","483.9222","2019-09-24T00:00:00.000Z","288.8915","1.6131"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","400","1/Day","620.4131","2019-09-24T00:00:00.000Z","384.6092","1.551"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","500","1/Day","744.4957","2019-09-24T00:00:00.000Z","480.0101","1.489"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","1000","1/Day","1451.7667","2021-06-01T00:00:00.000Z","974.9944","1.4518"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","2000","1/Day","2754.6342","2021-06-01T00:00:00.000Z","1897.3923","1.3773"
"2023-05-02T06:07:40.927Z","Sentinel","centralus","AUD","5000","1/Day","6514.3376","2021-06-01T00:00:00.000Z","4729.7884","1.3029"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","Pay-as-you-go","1 GB","7.9085","2023-07-01T00:00:00.000Z","0","7.9085"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","100","1/Day","518.9304","2023-07-01T00:00:00.000Z","65.6168","5.1893"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","200","1/Day","959.8667","2023-07-01T00:00:00.000Z","184.9704","4.7993"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","300","1/Day","1400.803","2023-07-01T00:00:00.000Z","291.8765","4.6693"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","400","1/Day","1815.7412","2023-07-01T00:00:00.000Z","388.8680","4.5394"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","500","1/Day","2213.1657","2023-07-01T00:00:00.000Z","487.5459","4.4263"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","1000","1/Day","4338.1562","2023-07-01T00:00:00.000Z","980.0863","4.3382"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","2000","1/Day","8391.4855","2023-07-01T00:00:00.000Z","1934.3243","4.1957"
"2023-07-02T06:08:00.652Z","Sentinel","centralus","AUD","5000","1/Day","20181.8044","2023-07-01T00:00:00.000Z","4810.1162","4.0364"
