"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","Pay-as-you-go","1 GB","2.3336","2019-09-24T00:00:00.000Z","0","2.3336"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","100","1/Day","116.6817","2019-09-24T00:00:00.000Z","50.0007","1.1668"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","200","1/Day","210.027","2019-09-24T00:00:00.000Z","180.0026","1.0501"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","300","1/Day","303.3724","2019-09-24T00:00:00.000Z","288.8986","1.0112"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","400","1/Day","388.939","2019-09-24T00:00:00.000Z","384.6311","0.9723"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","500","1/Day","466.7267","2019-09-24T00:00:00.000Z","480.0233","0.9335"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","1000","1/Day","910.1172","2021-06-01T00:00:00.000Z","974.9515","0.9101"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","2000","1/Day","1726.889","2021-06-01T00:00:00.000Z","1897.4717","0.8634"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","EUR","5000","1/Day","4083.859","2021-06-01T00:00:00.000Z","4729.9734","0.8168"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","Pay-as-you-go","1 GB","2.2713","2019-09-24T00:00:00.000Z","0","2.2713"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","100","1/Day","113.5629","2019-09-24T00:00:00.000Z","49.9991","1.1356"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","200","1/Day","204.4133","2019-09-24T00:00:00.000Z","180.0047","1.0221"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","300","1/Day","295.2636","2019-09-24T00:00:00.000Z","288.8794","0.9842"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","400","1/Day","378.5431","2019-09-24T00:00:00.000Z","384.6201","0.9464"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","500","1/Day","454.2517","2019-09-24T00:00:00.000Z","479.9786","0.9085"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","1000","1/Day","885.7908","2021-06-01T00:00:00.000Z","975.0036","0.8858"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","2000","1/Day","1680.7312","2021-06-01T00:00:00.000Z","1897.4161","0.8404"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","EUR","5000","1/Day","3974.7022","2021-06-01T00:00:00.000Z","4729.5362","0.7949"
