"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","Pay-as-you-go","1 GB","25.8098","2019-09-24T00:00:00.000Z","0","25.8098"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","100","1/Day","1290.4914","2019-09-24T00:00:00.000Z","50.0001","12.9049"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","200","1/Day","2322.8845","2019-09-24T00:00:00.000Z","180.0002","11.6144"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","300","1/Day","3355.2776","2019-09-24T00:00:00.000Z","288.8894","11.1843"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","400","1/Day","4301.638","2019-09-24T00:00:00.000Z","384.614","10.7541"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","500","1/Day","5161.9656","2019-09-24T00:00:00.000Z","479.9998","10.3239"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","1000","1/Day","10065.8329","2021-06-01T00:00:00.000Z","975.0029","10.0658"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","2000","1/Day","19099.2727","2021-06-01T00:00:00.000Z","1897.4421","9.5496"
"2023-03-29T13:50:58.330Z","Sentinel","centralus","SEK","5000","1/Day","45167.199","2021-06-01T00:00:00.000Z","4729.7477","9.0334"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","Pay-as-you-go","1 GB","25.6154","2019-09-24T00:00:00.000Z","0","25.6154"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","100","1/Day","1280.7683","2019-09-24T00:00:00.000Z","49.9999","12.8077"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","200","1/Day","2305.3829","2019-09-24T00:00:00.000Z","179.9998","11.5269"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","300","1/Day","3329.9975","2019-09-24T00:00:00.000Z","288.8893","11.1000"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","400","1/Day","4269.2275","2019-09-24T00:00:00.000Z","384.6151","10.6731"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","500","1/Day","5123.073","2019-09-24T00:00:00.000Z","479.9986","10.2461"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","1000","1/Day","9989.9924","2021-06-01T00:00:00.000Z","975.0044","9.9900"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","2000","1/Day","18955.3701","2021-06-01T00:00:00.000Z","1897.4344","9.4777"
"2023-04-12T11:28:34.468Z","Sentinel","centralus","SEK","5000","1/Day","44826.8888","2021-06-01T00:00:00.000Z","4729.7223","8.9654"
