"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","Pay-as-you-go","1 GB","21.5272","2019-09-24T00:00:00.000Z","0","21.5272"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","100","1/Day","1076.3588","2019-09-24T00:00:00.000Z","49.9999","10.7636"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","200","1/Day","1937.4458","2019-09-24T00:00:00.000Z","179.9998","9.6872"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","300","1/Day","2798.5328","2019-09-24T00:00:00.000Z","288.8898","9.3284"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","400","1/Day","3587.8162","2019-09-24T00:00:00.000Z","384.6122","8.9695"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","500","1/Day","4305.435","2019-09-24T00:00:00.000Z","480.0084","8.6109"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","1000","1/Day","8395.5983","2021-06-01T00:00:00.000Z","974.9966","8.3956"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","2000","1/Day","15930.1095","2021-06-01T00:00:00.000Z","1897.4355","7.9651"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","CNY","5000","1/Day","37672.5563","2021-06-01T00:00:00.000Z","4729.7029","7.5345"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","Pay-as-you-go","1 GB","21.3523","2019-09-24T00:00:00.000Z","0","21.3523"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","100","1/Day","1067.6167","2019-09-24T00:00:00.000Z","50.0001","10.6762"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","200","1/Day","1921.7101","2019-09-24T00:00:00.000Z","179.9994","9.6086"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","300","1/Day","2775.8035","2019-09-24T00:00:00.000Z","288.8874","9.2527"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","400","1/Day","3558.6766","2019-09-24T00:00:00.000Z","384.6095","8.8967"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","500","1/Day","4270.467","2019-09-24T00:00:00.000Z","480.0057","8.5409"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","1000","1/Day","8327.4106","2021-06-01T00:00:00.000Z","975.0039","8.3274"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","2000","1/Day","15800.7279","2021-06-01T00:00:00.000Z","1897.4383","7.9004"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","CNY","5000","1/Day","37366.5862","2021-06-01T00:00:00.000Z","4729.7081","7.4733"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","Pay-as-you-go","1 GB","21.4554","2019-09-24T00:00:00.000Z","0","21.4554"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","100","1/Day","1072.7705","2019-09-24T00:00:00.000Z","50.0000","10.7277"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","200","1/Day","1930.9869","2019-09-24T00:00:00.000Z","180.0001","9.6549"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","300","1/Day","2789.2033","2019-09-24T00:00:00.000Z","288.8899","9.2973"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","400","1/Day","3575.8555","2019-09-24T00:00:00.000Z","384.6123","8.9396"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","500","1/Day","4291.082","2019-09-24T00:00:00.000Z","480.0083","8.5822"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","1000","1/Day","8367.6099","2021-06-01T00:00:00.000Z","974.9959","8.3676"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","2000","1/Day","15877.0034","2021-06-01T00:00:00.000Z","1897.4381","7.9385"
"2023-05-02T06:07:40.927Z","Sentinel","eastasia","CNY","5000","1/Day","37546.9675","2021-06-01T00:00:00.000Z","4729.7307","7.5094"
