"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","Pay-as-you-go","1 GB","23.0202","2019-09-24T00:00:00.000Z","0","23.0202"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","100","1/Day","1151.0082","2019-09-24T00:00:00.000Z","49.9999","11.5101"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","200","1/Day","2071.8148","2019-09-24T00:00:00.000Z","179.9997","10.3591"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","300","1/Day","2992.6213","2019-09-24T00:00:00.000Z","288.8882","9.9754"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","400","1/Day","3836.6705","2019-09-24T00:00:00.000Z","384.6132","9.5917"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","500","1/Day","4604.0328","2019-09-24T00:00:00.000Z","480.0018","9.2081"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","1000","1/Day","8977.864","2021-06-01T00:00:00.000Z","974.9964","8.9779"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","2000","1/Day","17034.9214","2021-06-01T00:00:00.000Z","1897.4283","8.5175"
"2023-03-29T13:50:58.330Z","Sentinel","francesouth","DKK","5000","1/Day","40285.287","2021-06-01T00:00:00.000Z","4729.7079","8.0571"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","Pay-as-you-go","1 GB","22.4228","2019-09-24T00:00:00.000Z","0","22.4228"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","100","1/Day","1121.1384","2019-09-24T00:00:00.000Z","49.9999","11.2114"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","200","1/Day","2018.0492","2019-09-24T00:00:00.000Z","179.9998","10.0902"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","300","1/Day","2914.96","2019-09-24T00:00:00.000Z","288.8902","9.7165"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","400","1/Day","3737.1052","2019-09-24T00:00:00.000Z","384.6143","9.3428"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","500","1/Day","4484.5538","2019-09-24T00:00:00.000Z","480.0010","8.9691"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","1000","1/Day","8744.8799","2021-06-01T00:00:00.000Z","975.0008","8.7449"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","2000","1/Day","16592.8491","2021-06-01T00:00:00.000Z","1897.4315","8.2964"
"2023-04-12T11:28:34.468Z","Sentinel","francesouth","DKK","5000","1/Day","39239.8457","2021-06-01T00:00:00.000Z","4729.7437","7.8480"
