"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","Pay-as-you-go","1 GB","18.0551","2019-09-24T00:00:00.000Z","0","18.0551"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","100","1/Day","902.7525","2019-09-24T00:00:00.000Z","49.9999","9.0275"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","200","1/Day","1624.9545","2019-09-24T00:00:00.000Z","180.0005","8.1248"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","300","1/Day","2347.1565","2019-09-24T00:00:00.000Z","288.8879","7.8239"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","400","1/Day","3009.1519","2019-09-24T00:00:00.000Z","384.6102","7.5229"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","500","1/Day","3611.01","2019-09-24T00:00:00.000Z","480.0024","7.222"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","1000","1/Day","7041.4695","2021-06-01T00:00:00.000Z","975.0027","7.0415"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","2000","1/Day","13360.737","2021-06-01T00:00:00.000Z","1897.4277","6.6804"
"2023-03-29T13:50:58.330Z","Sentinel","germanywestcentral","CNY","5000","1/Day","31596.3375","2021-06-01T00:00:00.000Z","4729.7074","6.3193"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","Pay-as-you-go","1 GB","17.9084","2019-09-24T00:00:00.000Z","0","17.9084"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","100","1/Day","895.4205","2019-09-24T00:00:00.000Z","50.0000","8.9542"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","200","1/Day","1611.7569","2019-09-24T00:00:00.000Z","180.0001","8.0588"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","300","1/Day","2328.0933","2019-09-24T00:00:00.000Z","288.8883","7.7603"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","400","1/Day","2984.712","2019-09-24T00:00:00.000Z","384.6130","7.4618"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","500","1/Day","3581.682","2019-09-24T00:00:00.000Z","480.0024","7.1634"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","1000","1/Day","6984.2799","2021-06-01T00:00:00.000Z","974.9951","6.9843"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","2000","1/Day","13252.2234","2021-06-01T00:00:00.000Z","1897.4304","6.6261"
"2023-04-12T11:28:34.468Z","Sentinel","germanywestcentral","CNY","5000","1/Day","31339.7175","2021-06-01T00:00:00.000Z","4729.7381","6.2679"
