"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","Pay-as-you-go","1 GB","85.3146","2021-08-01T00:00:00.000Z","0","85.3146"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","100","1/Day","4265.73","2021-08-01T00:00:00.000Z","50","42.6573"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","200","1/Day","7678.314","2021-08-01T00:00:00.000Z","180","38.3916"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","300","1/Day","11090.898","2021-08-01T00:00:00.000Z","288.8887","36.9697"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","400","1/Day","14218.8969","2021-08-01T00:00:00.000Z","384.6095","35.5472"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","500","1/Day","17062.92","2021-08-01T00:00:00.000Z","480.0074","34.1258"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","1000","1/Day","33272.694","2021-08-01T00:00:00.000Z","975.0011","33.2727"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","2000","1/Day","63132.804","2021-08-01T00:00:00.000Z","1897.4356","31.5664"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","TWD","5000","1/Day","149300.55","2021-08-01T00:00:00.000Z","4729.73","29.8601"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","Pay-as-you-go","1 GB","85.2222","2021-08-01T00:00:00.000Z","0","85.2222"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","100","1/Day","4261.11","2021-08-01T00:00:00.000Z","50","42.6111"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","200","1/Day","7669.998","2021-08-01T00:00:00.000Z","180","38.35"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","300","1/Day","11078.886","2021-08-01T00:00:00.000Z","288.8888","36.9296"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","400","1/Day","14203.4971","2021-08-01T00:00:00.000Z","384.6101","35.5087"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","500","1/Day","17044.44","2021-08-01T00:00:00.000Z","480.0074","34.0889"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","1000","1/Day","33236.658","2021-08-01T00:00:00.000Z","974.9994","33.2367"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","2000","1/Day","63064.428","2021-08-01T00:00:00.000Z","1897.4335","31.5322"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","TWD","5000","1/Day","149138.85","2021-08-01T00:00:00.000Z","4729.7318","29.8278"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","Pay-as-you-go","1 GB","86.0328","2021-08-01T00:00:00.000Z","0","86.0328"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","100","1/Day","4301.64","2021-08-01T00:00:00.000Z","50","43.0164"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","200","1/Day","7742.952","2021-08-01T00:00:00.000Z","180","38.7148"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","300","1/Day","11184.264","2021-08-01T00:00:00.000Z","288.8886","37.2809"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","400","1/Day","14338.5952","2021-08-01T00:00:00.000Z","384.6097","35.8465"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","500","1/Day","17206.56","2021-08-01T00:00:00.000Z","480.0067","34.4131"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","1000","1/Day","33552.792","2021-08-01T00:00:00.000Z","975.0006","33.5528"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","2000","1/Day","63664.272","2021-08-01T00:00:00.000Z","1897.4354","31.8321"
"2023-05-02T06:07:40.927Z","Sentinel","jioindiacentral","TWD","5000","1/Day","150557.4","2021-08-01T00:00:00.000Z","4729.7351","30.1115"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","Pay-as-you-go","1 GB","187.0173","2023-07-01T00:00:00.000Z","0","187.0173"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","100","1/Day","12873.7504","2023-07-01T00:00:00.000Z","68.8372","128.7375"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","200","1/Day","23833.8352","2023-07-01T00:00:00.000Z","185.1351","119.1692"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","300","1/Day","34793.92","2023-07-01T00:00:00.000Z","291.9707","115.9797"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","400","1/Day","45115.9092","2023-07-01T00:00:00.000Z","388.9983","112.7898"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","500","1/Day","55017.886","2023-07-01T00:00:00.000Z","487.7913","110.0358"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","1000","1/Day","107861.152","2023-07-01T00:00:00.000Z","980.2369","107.8612"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","2000","1/Day","208763.52","2023-07-01T00:00:00.000Z","1935.4830","104.3818"
"2023-07-02T06:08:00.652Z","Sentinel","jioindiacentral","TWD","5000","1/Day","502337.22","2023-07-01T00:00:00.000Z","4812.4982","100.4674"
