"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","Pay-as-you-go","1 GB","60.939","2021-09-01T00:00:00.000Z","0","60.939"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","100","1/Day","4357.1385","2020-10-01T00:00:00.000Z","71.5","43.5714"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","200","1/Day","7842.8493","2020-10-01T00:00:00.000Z","179.9999","39.2142"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","300","1/Day","11328.5601","2020-10-01T00:00:00.000Z","288.8892","37.7619"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","400","1/Day","14523.5919","2020-10-01T00:00:00.000Z","384.6097","36.309"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","500","1/Day","17428.554","2020-10-01T00:00:00.000Z","480.0064","34.8571"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","1000","1/Day","33985.6803","2021-06-01T00:00:00.000Z","975.0002","33.9857"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","2000","1/Day","64485.6498","2021-06-01T00:00:00.000Z","1897.4348","32.2428"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","TWD","5000","1/Day","152499.8475","2021-06-01T00:00:00.000Z","4729.7334","30.5"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","Pay-as-you-go","1 GB","60.873","2021-09-01T00:00:00.000Z","0","60.873"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","100","1/Day","4352.4195","2020-10-01T00:00:00.000Z","71.5","43.5242"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","200","1/Day","7834.3551","2020-10-01T00:00:00.000Z","180","39.1718"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","300","1/Day","11316.2907","2020-10-01T00:00:00.000Z","288.8887","37.721"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","400","1/Day","14507.8621","2020-10-01T00:00:00.000Z","384.6097","36.2697"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","500","1/Day","17409.678","2020-10-01T00:00:00.000Z","480.0061","34.8194"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","1000","1/Day","33948.8721","2021-06-01T00:00:00.000Z","974.9988","33.9489"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","2000","1/Day","64415.8086","2021-06-01T00:00:00.000Z","1897.4343","32.2079"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","TWD","5000","1/Day","152334.6825","2021-06-01T00:00:00.000Z","4729.7304","30.4669"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","Pay-as-you-go","1 GB","61.452","2021-09-01T00:00:00.000Z","0","61.452"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","100","1/Day","4393.818","2020-10-01T00:00:00.000Z","71.5","43.9382"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","200","1/Day","7908.8724","2020-10-01T00:00:00.000Z","179.9999","39.5444"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","300","1/Day","11423.9268","2020-10-01T00:00:00.000Z","288.8886","38.0798"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","400","1/Day","14645.8552","2020-10-01T00:00:00.000Z","384.6096","36.6146"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","500","1/Day","17575.272","2020-10-01T00:00:00.000Z","480.0072","35.1505"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","1000","1/Day","34271.7804","2021-06-01T00:00:00.000Z","975.0012","34.2718"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","2000","1/Day","65028.5064","2021-06-01T00:00:00.000Z","1897.4348","32.5143"
"2023-05-02T06:07:40.927Z","Sentinel","norwayeast","TWD","5000","1/Day","153783.63","2021-06-01T00:00:00.000Z","4729.7229","30.7567"
