"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","Pay-as-you-go","1 GB","20.6193","2019-09-24T00:00:00.000Z","0","20.6193"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","100","1/Day","1030.9644","2019-09-24T00:00:00.000Z","50","10.3096"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","200","1/Day","1855.7359","2019-09-24T00:00:00.000Z","180.0008","9.2787"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","300","1/Day","2680.4368","2019-09-24T00:00:00.000Z","288.8806","8.9348"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","400","1/Day","3436.5009","2019-09-24T00:00:00.000Z","384.6198","8.5913"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","500","1/Day","4123.8576","2019-09-24T00:00:00.000Z","480.0039","8.2477"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","1000","1/Day","8041.5223","2021-06-01T00:00:00.000Z","975.0018","8.0415"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","2000","1/Day","15258.2731","2021-06-01T00:00:00.000Z","1897.4412","7.6291"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","DKK","5000","1/Day","36083.754","2021-06-01T00:00:00.000Z","4729.7524","7.2168"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","Pay-as-you-go","1 GB","20.0842","2019-09-24T00:00:00.000Z","0","20.0842"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","100","1/Day","1004.2099","2019-09-24T00:00:00.000Z","50.0000","10.0421"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","200","1/Day","1807.5778","2019-09-24T00:00:00.000Z","180.0000","9.0379"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","300","1/Day","2610.877","2019-09-24T00:00:00.000Z","288.8809","8.7029"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","400","1/Day","3347.3205","2019-09-24T00:00:00.000Z","384.6213","8.3683"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","500","1/Day","4016.8396","2019-09-24T00:00:00.000Z","480.0066","8.0337"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","1000","1/Day","7832.8372","2021-06-01T00:00:00.000Z","974.9975","7.8328"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","2000","1/Day","14862.3065","2021-06-01T00:00:00.000Z","1897.4449","7.4312"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","DKK","5000","1/Day","35147.3465","2021-06-01T00:00:00.000Z","4729.7000","7.0295"
