"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","Pay-as-you-go","1 GB","4.3661","2020-10-01T00:00:00.000Z","0","4.3661"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","100","1/Day","218.304","2020-10-01T00:00:00.000Z","49.9998","2.183"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","200","1/Day","392.9472","2020-10-01T00:00:00.000Z","180.0033","1.9647"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","300","1/Day","567.5904","2020-10-01T00:00:00.000Z","288.8942","1.892"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","400","1/Day","727.6755","2020-10-01T00:00:00.000Z","384.6065","1.8192"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","500","1/Day","873.216","2020-10-01T00:00:00.000Z","480","1.7464"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","1000","1/Day","1702.7712","2021-06-01T00:00:00.000Z","975.0179","1.7028"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","2000","1/Day","3230.8992","2021-06-01T00:00:00.000Z","1897.4038","1.6154"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","CAD","5000","1/Day","7640.64","2021-06-01T00:00:00.000Z","4729.875","1.5281"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","Pay-as-you-go","1 GB","4.3474","2020-10-01T00:00:00.000Z","0","4.3474"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","100","1/Day","217.368","2020-10-01T00:00:00.000Z","49.9995","2.1737"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","200","1/Day","391.2624","2020-10-01T00:00:00.000Z","179.9983","1.9563"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","300","1/Day","565.1568","2020-10-01T00:00:00.000Z","288.8907","1.8839"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","400","1/Day","724.5555","2020-10-01T00:00:00.000Z","384.6040","1.8114"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","500","1/Day","869.472","2020-10-01T00:00:00.000Z","480","1.7389"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","1000","1/Day","1695.4704","2021-06-01T00:00:00.000Z","975.0247","1.6955"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","2000","1/Day","3217.0464","2021-06-01T00:00:00.000Z","1897.4028","1.6085"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","CAD","5000","1/Day","7607.88","2021-06-01T00:00:00.000Z","4729.7979","1.5216"
