"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","Pay-as-you-go","1 GB","249.8975","2019-09-24T00:00:00.000Z","0","249.8975"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","100","1/Day","12494.8725","2019-09-24T00:00:00.000Z","50","124.9487"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","200","1/Day","22490.7705","2019-09-24T00:00:00.000Z","180","112.4539"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","300","1/Day","32486.6685","2019-09-24T00:00:00.000Z","288.8888","108.2889"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","400","1/Day","41649.2992","2019-09-24T00:00:00.000Z","384.6128","104.1232"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","500","1/Day","49979.49","2019-09-24T00:00:00.000Z","480.0034","99.959"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","1000","1/Day","97460.0055","2021-06-01T00:00:00.000Z","974.9998","97.46"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","2000","1/Day","184924.113","2021-06-01T00:00:00.000Z","1897.436","92.4621"
"2023-03-29T13:50:58.330Z","Sentinel","southindia","INR","5000","1/Day","437320.5375","2021-06-01T00:00:00.000Z","4729.7275","87.4641"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","Pay-as-you-go","1 GB","248.6744","2019-09-24T00:00:00.000Z","0","248.6744"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","100","1/Day","12433.7175","2019-09-24T00:00:00.000Z","50.0000","124.3372"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","200","1/Day","22380.6915","2019-09-24T00:00:00.000Z","180.0000","111.9035"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","300","1/Day","32327.6655","2019-09-24T00:00:00.000Z","288.8888","107.7589"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","400","1/Day","41445.4505","2019-09-24T00:00:00.000Z","384.6128","103.6136"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","500","1/Day","49734.87","2019-09-24T00:00:00.000Z","480.0033","99.4697"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","1000","1/Day","96982.9965","2021-06-01T00:00:00.000Z","975.0004","96.9830"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","2000","1/Day","184019.019","2021-06-01T00:00:00.000Z","1897.4358","92.0095"
"2023-04-12T11:28:34.468Z","Sentinel","southindia","INR","5000","1/Day","435180.1125","2021-06-01T00:00:00.000Z","4729.7302","87.0360"
