"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","Pay-as-you-go","1 GB","3.5474","2021-10-01T00:00:00.000Z","0","3.5474"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","100","1/Day","177.372","2021-10-01T00:00:00.000Z","50.0006","1.7737"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","200","1/Day","319.2696","2021-10-01T00:00:00.000Z","180.002","1.5963"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","300","1/Day","461.1672","2021-10-01T00:00:00.000Z","288.8976","1.5372"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","400","1/Day","591.2355","2021-10-01T00:00:00.000Z","384.6185","1.4781"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","500","1/Day","709.488","2021-10-01T00:00:00.000Z","480","1.419"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","1000","1/Day","1383.5016","2021-06-08T00:00:00.000Z","974.9835","1.3835"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","2000","1/Day","2625.1056","2021-06-08T00:00:00.000Z","1897.4381","1.3126"
"2023-03-29T13:50:58.330Z","Sentinel","swedencentral","CAD","5000","1/Day","6208.02","2021-06-08T00:00:00.000Z","4729.5597","1.2416"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","Pay-as-you-go","1 GB","3.5322","2021-10-01T00:00:00.000Z","0","3.5322"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","100","1/Day","176.6115","2021-10-01T00:00:00.000Z","50.0004","1.7661"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","200","1/Day","317.9007","2021-10-01T00:00:00.000Z","180.0015","1.5895"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","300","1/Day","459.1899","2021-10-01T00:00:00.000Z","288.8895","1.5306"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","400","1/Day","588.7005","2021-10-01T00:00:00.000Z","384.6207","1.4718"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","500","1/Day","706.446","2021-10-01T00:00:00.000Z","479.9878","1.4129"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","1000","1/Day","1377.5697","2021-06-08T00:00:00.000Z","974.9945","1.3776"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","2000","1/Day","2613.8502","2021-06-08T00:00:00.000Z","1897.3942","1.3069"
"2023-04-12T11:28:34.468Z","Sentinel","swedencentral","CAD","5000","1/Day","6181.4025","2021-06-08T00:00:00.000Z","4729.8206","1.2363"
