"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","Pay-as-you-go","1 GB","23.8675","2021-08-01T00:00:00.000Z","0","23.8675"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","100","1/Day","1193.3766","2021-08-01T00:00:00.000Z","50.0001","11.9338"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","200","1/Day","2148.0779","2021-08-01T00:00:00.000Z","179.9995","10.7404"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","300","1/Day","3102.7792","2021-08-01T00:00:00.000Z","288.8886","10.3426"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","400","1/Day","3977.8985","2021-08-01T00:00:00.000Z","384.613","9.9447"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","500","1/Day","4773.5064","2021-08-01T00:00:00.000Z","480.0051","9.547"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","1000","1/Day","9308.3375","2021-06-08T00:00:00.000Z","975.0013","9.3083"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","2000","1/Day","17661.9737","2021-06-08T00:00:00.000Z","1897.4435","8.831"
"2023-03-29T13:50:58.330Z","Sentinel","swedensouth","DKK","5000","1/Day","41768.181","2021-06-08T00:00:00.000Z","4729.7227","8.3536"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","Pay-as-you-go","1 GB","23.2481","2021-08-01T00:00:00.000Z","0","23.2481"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","100","1/Day","1162.4073","2021-08-01T00:00:00.000Z","50.0001","11.6241"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","200","1/Day","2092.3332","2021-08-01T00:00:00.000Z","179.9996","10.4617"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","300","1/Day","3022.2591","2021-08-01T00:00:00.000Z","288.888","10.0742"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","400","1/Day","3874.6682","2021-08-01T00:00:00.000Z","384.613","9.6867"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","500","1/Day","4649.6294","2021-08-01T00:00:00.000Z","480.0014","9.2993"
"2023-04-12T11:28:34.468Z","Sentinel","swedensouth","DKK","1000","1/Day","9066.7773","2021-06-08T00:00:00.000Z","974.9957","9.0668"
