"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","Pay-as-you-go","1 GB","262.128","2020-09-01T00:00:00.000Z","0","262.128"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","100","1/Day","13106.4","2020-09-01T00:00:00.000Z","50","131.064"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","200","1/Day","23591.52","2020-09-01T00:00:00.000Z","180","117.9576"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","300","1/Day","34076.64","2020-09-01T00:00:00.000Z","288.8889","113.5888"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","400","1/Day","43687.746","2020-09-01T00:00:00.000Z","384.6131","109.2194"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","500","1/Day","52425.6","2020-09-01T00:00:00.000Z","480.0026","104.8512"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","1000","1/Day","102229.92","2021-06-01T00:00:00.000Z","975","102.2299"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","2000","1/Day","193974.72","2021-06-01T00:00:00.000Z","1897.4363","96.9874"
"2023-03-29T13:50:58.330Z","Sentinel","uaecentral","RUB","5000","1/Day","458724","2021-06-01T00:00:00.000Z","4729.7278","91.7448"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","Pay-as-you-go","1 GB","265.74","2020-09-01T00:00:00.000Z","0","265.74"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","100","1/Day","13287","2020-09-01T00:00:00.000Z","50","132.87"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","200","1/Day","23916.6","2020-09-01T00:00:00.000Z","180","119.583"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","300","1/Day","34546.2","2020-09-01T00:00:00.000Z","288.8889","115.154"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","400","1/Day","44289.7425","2020-09-01T00:00:00.000Z","384.6131","110.7244"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","500","1/Day","53148","2020-09-01T00:00:00.000Z","480.0026","106.296"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","1000","1/Day","103638.6","2021-06-01T00:00:00.000Z","975","103.6386"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","2000","1/Day","196647.6","2021-06-01T00:00:00.000Z","1897.4359","98.3238"
"2023-04-12T11:28:34.468Z","Sentinel","uaecentral","RUB","5000","1/Day","465045","2021-06-01T00:00:00.000Z","4729.7297","93.009"
