"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","597.012","2023-07-01T00:00:00.000Z","0","597.012"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","40126.095","2023-07-01T00:00:00.000Z","67.2115","401.261"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","74262.935","2023-07-01T00:00:00.000Z","185.0739","371.3147"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","108399.775","2023-07-01T00:00:00.000Z","291.935","361.3326"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","140539.8777","2023-07-01T00:00:00.000Z","388.9488","351.3497"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","171353.925","2023-07-01T00:00:00.000Z","487.7019","342.7078"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","335914.925","2023-07-01T00:00:00.000Z","980.1788","335.9149"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","650015.95","2023-07-01T00:00:00.000Z","1935.0614","325.008"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1563807.875","2023-07-01T00:00:00.000Z","4811.5981","312.7616"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","603.72","2023-07-01T00:00:00.000Z","0","603.72"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","40576.95","2023-07-01T00:00:00.000Z","67.2115","405.7695"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","75097.35","2023-07-01T00:00:00.000Z","185.0739","375.4868"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","109617.75","2023-07-01T00:00:00.000Z","291.935","365.3925"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","142118.9775","2023-07-01T00:00:00.000Z","388.9488","355.2974"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","173279.25","2023-07-01T00:00:00.000Z","487.702","346.5585"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","339689.25","2023-07-01T00:00:00.000Z","980.1787","339.6892"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","657319.5","2023-07-01T00:00:00.000Z","1935.0615","328.6598"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1581378.75","2023-07-01T00:00:00.000Z","4811.5977","316.2758"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","590.928","2023-07-01T00:00:00.000Z","0","590.928"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","39717.18","2023-07-01T00:00:00.000Z","67.2115","397.1718"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","73506.14","2023-07-01T00:00:00.000Z","185.0739","367.5307"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","107295.1","2023-07-01T00:00:00.000Z","291.9351","357.6503"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","139107.671","2023-07-01T00:00:00.000Z","388.9488","347.7692"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","169607.7","2023-07-01T00:00:00.000Z","487.7019","339.2154"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","332491.7","2023-07-01T00:00:00.000Z","980.1787","332.4917"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","643391.8","2023-07-01T00:00:00.000Z","1935.0612","321.6959"
"2023-11-01T06:09:55.088Z","Sentinel","australiacentral","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1547871.5","2023-07-01T00:00:00.000Z","4811.5985","309.5743"
