"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.4867","2023-07-01T00:00:00.000Z","0","8.4867"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","583.7335","2023-07-01T00:00:00.000Z","68.7822","5.8373"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1080.6957","2023-07-01T00:00:00.000Z","185.1362","5.4035"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1577.658","2023-07-01T00:00:00.000Z","291.9696","5.2589"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2045.692","2023-07-01T00:00:00.000Z","388.9962","5.1142"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2494.6717","2023-07-01T00:00:00.000Z","487.7931","4.9893"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4890.7398","2023-07-01T00:00:00.000Z","980.2457","4.8907"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9465.948","2023-07-01T00:00:00.000Z","1935.4996","4.733"
"2023-09-11T15:21:36.457Z","Sentinel","australiacentral2","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","22777.4374","2023-07-01T00:00:00.000Z","4812.4736","4.5555"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.4349","2023-07-01T00:00:00.000Z","0","8.4349"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","580.1711","2023-07-01T00:00:00.000Z","68.7822","5.8017"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1074.1006","2023-07-01T00:00:00.000Z","185.1355","5.3705"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1568.03","2023-07-01T00:00:00.000Z","291.9710","5.2268"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2033.2077","2023-07-01T00:00:00.000Z","388.9967","5.0830"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2479.4474","2023-07-01T00:00:00.000Z","487.7921","4.9589"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4860.893","2023-07-01T00:00:00.000Z","980.2361","4.8609"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9408.18","2023-07-01T00:00:00.000Z","1935.4811","4.7041"
"2023-10-02T06:09:57.719Z","Sentinel","australiacentral2","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","22638.4331","2023-07-01T00:00:00.000Z","4812.4898","4.5277"
