"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","30.4128","2023-07-01T00:00:00.000Z","0","30.4128"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2044.0927","2023-07-01T00:00:00.000Z","67.2116","20.4409"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3783.0824","2023-07-01T00:00:00.000Z","185.0742","18.9154"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5522.072","2023-07-01T00:00:00.000Z","291.9352","18.4069"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7159.3445","2023-07-01T00:00:00.000Z","388.949","17.8984"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8729.0653","2023-07-01T00:00:00.000Z","487.7009","17.4581"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17112.0873","2023-07-01T00:00:00.000Z","980.1804","17.1121"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33112.9369","2023-07-01T00:00:00.000Z","1935.0598","16.5565"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","79663.0782","2023-07-01T00:00:00.000Z","4811.5893","15.9326"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","31.3816","2023-07-01T00:00:00.000Z","0","31.3816"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2109.2045","2023-07-01T00:00:00.000Z","67.2115","21.092"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3903.5874","2023-07-01T00:00:00.000Z","185.0743","19.5179"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5697.9703","2023-07-01T00:00:00.000Z","291.9356","18.9932"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7387.3959","2023-07-01T00:00:00.000Z","388.9495","18.4685"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","9007.1181","2023-07-01T00:00:00.000Z","487.7017","18.0142"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17657.1701","2023-07-01T00:00:00.000Z","980.1806","17.6572"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","34167.7054","2023-07-01T00:00:00.000Z","1935.058","17.0839"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","82200.6395","2023-07-01T00:00:00.000Z","4811.5851","16.4401"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","30.8896","2023-07-01T00:00:00.000Z","0","30.8896"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2076.1349","2023-07-01T00:00:00.000Z","67.2115","20.7613"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3842.3841","2023-07-01T00:00:00.000Z","185.0743","19.2119"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5608.6333","2023-07-01T00:00:00.000Z","291.9354","18.6954"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7271.5707","2023-07-01T00:00:00.000Z","388.9497","18.1789"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8865.8978","2023-07-01T00:00:00.000Z","487.7027","17.7318"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17380.3278","2023-07-01T00:00:00.000Z","980.1784","17.3803"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33631.9985","2023-07-01T00:00:00.000Z","1935.0643","16.816"
"2023-11-02T06:09:34.736Z","Sentinel","australiaeast","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","80911.8363","2023-07-01T00:00:00.000Z","4811.5983","16.1824"
"2023-12-02T06:09:12.946Z","Sentinel","australiaeast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","30.3682","2023-07-01T00:00:00.000Z","0","30.3682"
"2023-12-02T06:09:12.946Z","Sentinel","australiaeast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2041.094","2023-07-01T00:00:00.000Z","67.2116","20.4109"
"2023-12-02T06:09:12.946Z","Sentinel","australiaeast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3777.5325","2023-07-01T00:00:00.000Z","185.0743","18.8877"
