"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","66.6179","2023-07-01T00:00:00.000Z","0","66.6179"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4477.4934","2023-07-01T00:00:00.000Z","67.2116","44.7749"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8286.6724","2023-07-01T00:00:00.000Z","185.0741","41.4334"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","12095.8514","2023-07-01T00:00:00.000Z","291.9348","40.3195"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15682.2232","2023-07-01T00:00:00.000Z","388.9489","39.2056"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","19120.6265","2023-07-01T00:00:00.000Z","487.7014","38.2413"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","37483.2605","2023-07-01T00:00:00.000Z","980.1775","37.4833"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","72532.4043","2023-07-01T00:00:00.000Z","1935.0592","36.2662"
"2023-09-11T15:21:36.457Z","Sentinel","australiaeast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","174498.4028","2023-07-01T00:00:00.000Z","4811.5988","34.8997"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","67.0956","2023-07-01T00:00:00.000Z","0","67.0956"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4509.5985","2023-07-01T00:00:00.000Z","67.2115","45.0960"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8346.0905","2023-07-01T00:00:00.000Z","185.0739","41.7305"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","12182.5825","2023-07-01T00:00:00.000Z","291.9347","40.6086"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15794.6698","2023-07-01T00:00:00.000Z","388.9489","39.4867"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","19257.7275","2023-07-01T00:00:00.000Z","487.7016","38.5155"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","37752.0275","2023-07-01T00:00:00.000Z","980.1775","37.7520"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","73052.485","2023-07-01T00:00:00.000Z","1935.0626","36.5262"
"2023-10-02T06:09:57.719Z","Sentinel","australiaeast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","175749.6125","2023-07-01T00:00:00.000Z","4811.6041","35.1499"
