"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.67","2023-07-01T00:00:00.000Z","0","5.67"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","382.6761","2023-07-01T00:00:00.000Z","67.4914","3.8268"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","708.468","2023-07-01T00:00:00.000Z","185.1333","3.5423"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1034.2599","2023-07-01T00:00:00.000Z","291.9741","3.4475"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1341.0841","2023-07-01T00:00:00.000Z","389.0019","3.3527"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1635.4234","2023-07-01T00:00:00.000Z","487.7929","3.2708"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3206.2056","2023-07-01T00:00:00.000Z","980.2512","3.2062"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6205.5591","2023-07-01T00:00:00.000Z","1935.4872","3.1028"
"2023-09-11T15:21:36.457Z","Sentinel","australiasoutheast","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14932.1267","2023-07-01T00:00:00.000Z","4812.4683","2.9864"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.8412","2023-07-01T00:00:00.000Z","0","5.8412"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","394.2349","2023-07-01T00:00:00.000Z","67.4921","3.9423"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","729.8673","2023-07-01T00:00:00.000Z","185.1374","3.6493"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1065.4997","2023-07-01T00:00:00.000Z","291.9737","3.5517"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1381.5916","2023-07-01T00:00:00.000Z","388.9945","3.454"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1684.8214","2023-07-01T00:00:00.000Z","487.7885","3.3696"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3303.049","2023-07-01T00:00:00.000Z","980.2496","3.303"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6392.9981","2023-07-01T00:00:00.000Z","1935.5126","3.1965"
"2023-10-02T06:09:57.719Z","Sentinel","australiasoutheast","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15383.1518","2023-07-01T00:00:00.000Z","4812.4986","3.0766"
"2023-11-02T06:09:34.736Z","Sentinel","australiasoutheast","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.804","2023-07-01T00:00:00.000Z","0","5.804"
"2023-11-02T06:09:34.736Z","Sentinel","australiasoutheast","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","391.7194","2023-07-01T00:00:00.000Z","67.4913","3.9172"
"2023-11-02T06:09:34.736Z","Sentinel","australiasoutheast","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","725.2103","2023-07-01T00:00:00.000Z","185.1349","3.6261"
"2023-11-02T06:09:34.736Z","Sentinel","australiasoutheast","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1058.7012","2023-07-01T00:00:00.000Z","291.9669","3.529"
