"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1258.352","2023-07-01T00:00:00.000Z","0","1258.352"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","86621.44","2023-07-01T00:00:00.000Z","68.8372","866.2144"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","160366.72","2023-07-01T00:00:00.000Z","185.1351","801.8336"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","234112","2023-07-01T00:00:00.000Z","291.9708","780.3733"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","303564.2512","2023-07-01T00:00:00.000Z","388.9988","758.9106"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","370189.6","2023-07-01T00:00:00.000Z","487.7908","740.3792"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","725747.2","2023-07-01T00:00:00.000Z","980.2372","725.7472"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1404672","2023-07-01T00:00:00.000Z","1935.4839","702.336"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","3379992","2023-07-01T00:00:00.000Z","4812.5","675.9984"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1285.485","2023-07-01T00:00:00.000Z","0","1285.485"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","88489.2","2023-07-01T00:00:00.000Z","68.8372","884.892"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","163824.6","2023-07-01T00:00:00.000Z","185.1351","819.123"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","239160","2023-07-01T00:00:00.000Z","291.9708","797.2"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","310109.8035","2023-07-01T00:00:00.000Z","388.9988","775.2745"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","378171.75","2023-07-01T00:00:00.000Z","487.7908","756.3435"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","741396","2023-07-01T00:00:00.000Z","980.2372","741.396"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1434960","2023-07-01T00:00:00.000Z","1935.4839","717.48"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","3452872.5","2023-07-01T00:00:00.000Z","4812.5","690.5745"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1286.603","2023-07-01T00:00:00.000Z","0","1286.603"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","88566.16","2023-07-01T00:00:00.000Z","68.8372","885.6616"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","163967.08","2023-07-01T00:00:00.000Z","185.1351","819.8354"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","239368","2023-07-01T00:00:00.000Z","291.9708","797.8933"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","310379.5093","2023-07-01T00:00:00.000Z","388.9988","775.9488"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","378500.65","2023-07-01T00:00:00.000Z","487.7908","757.0013"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","742040.8","2023-07-01T00:00:00.000Z","980.2372","742.0408"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1436208","2023-07-01T00:00:00.000Z","1935.4839","718.104"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","3455875.5","2023-07-01T00:00:00.000Z","4812.5","691.1751"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1271.768","2023-07-01T00:00:00.000Z","0","1271.768"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","87544.96","2023-07-01T00:00:00.000Z","68.8372","875.4496"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","162076.48","2023-07-01T00:00:00.000Z","185.1351","810.3824"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","236608","2023-07-01T00:00:00.000Z","291.9708","788.6933"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","306800.7208","2023-07-01T00:00:00.000Z","388.9988","767.0018"
