"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","822.805","2023-07-01T00:00:00.000Z","0","822.805"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","56639.6","2023-07-01T00:00:00.000Z","68.8372","566.396"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","104859.8","2023-07-01T00:00:00.000Z","185.1351","524.299"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","153080","2023-07-01T00:00:00.000Z","291.9708","510.2667"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","198493.0955","2023-07-01T00:00:00.000Z","388.9987","496.2327"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","242057.75","2023-07-01T00:00:00.000Z","487.7908","484.1155"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","474548","2023-07-01T00:00:00.000Z","980.2372","474.548"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","918480","2023-07-01T00:00:00.000Z","1935.4839","459.24"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2210092.5","2023-07-01T00:00:00.000Z","4812.5","442.0185"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","832.05","2023-07-01T00:00:00.000Z","0","832.05"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","57276","2023-07-01T00:00:00.000Z","68.8372","572.76"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","106038","2023-07-01T00:00:00.000Z","185.1351","530.19"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","154800","2023-07-01T00:00:00.000Z","291.9708","516"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","200723.355","2023-07-01T00:00:00.000Z","388.9988","501.8084"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","244777.5","2023-07-01T00:00:00.000Z","487.7908","489.555"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","479880","2023-07-01T00:00:00.000Z","980.2372","479.88"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","928800","2023-07-01T00:00:00.000Z","1935.4839","464.4"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2234925","2023-07-01T00:00:00.000Z","4812.5","446.985"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","814.42","2023-07-01T00:00:00.000Z","0","814.42"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","56062.4","2023-07-01T00:00:00.000Z","68.8372","560.624"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","103791.2","2023-07-01T00:00:00.000Z","185.1351","518.956"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","151520","2023-07-01T00:00:00.000Z","291.9708","505.0667"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","196470.302","2023-07-01T00:00:00.000Z","388.9987","491.1758"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","239591","2023-07-01T00:00:00.000Z","487.7907","479.182"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","469712","2023-07-01T00:00:00.000Z","980.2372","469.712"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","909120","2023-07-01T00:00:00.000Z","1935.4839","454.56"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2187570","2023-07-01T00:00:00.000Z","4812.5","437.514"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","769.7","2023-07-01T00:00:00.000Z","0","769.7"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","52984","2023-07-01T00:00:00.000Z","68.8372","529.84"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","98092","2023-07-01T00:00:00.000Z","185.1351","490.46"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","143200","2023-07-01T00:00:00.000Z","291.9708","477.3333"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","185682.07","2023-07-01T00:00:00.000Z","388.9988","464.2052"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","226435","2023-07-01T00:00:00.000Z","487.7907","452.87"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","443920","2023-07-01T00:00:00.000Z","980.2372","443.92"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","859200","2023-07-01T00:00:00.000Z","1935.4839","429.6"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2067450","2023-07-01T00:00:00.000Z","4812.5","413.49"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","787.545","2023-07-01T00:00:00.000Z","0","787.545"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","54212.4","2023-07-01T00:00:00.000Z","68.8372","542.124"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","100366.2","2023-07-01T00:00:00.000Z","185.1351","501.831"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","146520","2023-07-01T00:00:00.000Z","291.9708","488.4"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","189986.9895","2023-07-01T00:00:00.000Z","388.9988","474.9675"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","231684.75","2023-07-01T00:00:00.000Z","487.7907","463.3695"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","454212","2023-07-01T00:00:00.000Z","980.2372","454.212"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","879120","2023-07-01T00:00:00.000Z","1935.4839","439.56"
"2024-01-02T06:09:49.104Z","Sentinel","brazilsouth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2115382.5","2023-07-01T00:00:00.000Z","4812.5","423.0765"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","771.85","2023-07-01T00:00:00.000Z","0","771.85"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","53132","2023-07-01T00:00:00.000Z","68.8372","531.32"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","98366","2023-07-01T00:00:00.000Z","185.1351","491.83"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","143600","2023-07-01T00:00:00.000Z","291.9708","478.6667"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","186200.735","2023-07-01T00:00:00.000Z","388.9987","465.5018"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","227067.5","2023-07-01T00:00:00.000Z","487.7908","454.135"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","445160","2023-07-01T00:00:00.000Z","980.2372","445.16"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","861600","2023-07-01T00:00:00.000Z","1935.4839","430.8"
"2024-02-02T06:09:14.625Z","Sentinel","brazilsouth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2073225","2023-07-01T00:00:00.000Z","4812.5","414.645"
