"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","274.2239","2023-07-01T00:00:00.000Z","0","274.2239"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","18876.808","2023-07-01T00:00:00.000Z","68.8372","188.7681"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","34947.604","2023-07-01T00:00:00.000Z","185.1351","174.738"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","51018.4","2023-07-01T00:00:00.000Z","291.9708","170.0613"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","66153.6461","2023-07-01T00:00:00.000Z","388.9988","165.3841"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","80672.845","2023-07-01T00:00:00.000Z","487.7908","161.3457"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","158157.04","2023-07-01T00:00:00.000Z","980.2371","158.157"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","306110.4","2023-07-01T00:00:00.000Z","1935.4844","153.0552"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsouth","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","736578.15","2023-07-01T00:00:00.000Z","4812.5","147.3156"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","277.3758","2023-07-01T00:00:00.000Z","0","277.3758"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","19093.776","2023-07-01T00:00:00.000Z","68.8372","190.9378"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","35349.288","2023-07-01T00:00:00.000Z","185.1351","176.7464"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","51604.8","2023-07-01T00:00:00.000Z","291.9709","172.016"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","66914.009","2023-07-01T00:00:00.000Z","388.9988","167.285"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","81600.09","2023-07-01T00:00:00.000Z","487.7908","163.2002"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","159974.88","2023-07-01T00:00:00.000Z","980.237","159.9749"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","309628.8","2023-07-01T00:00:00.000Z","1935.4836","154.8144"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsouth","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","745044.3","2023-07-01T00:00:00.000Z","4812.5","149.0089"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","278.9496","2023-07-01T00:00:00.000Z","0","278.9496"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","19202.112","2023-07-01T00:00:00.000Z","68.8372","192.0211"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","35549.856","2023-07-01T00:00:00.000Z","185.1352","177.7493"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","51897.6","2023-07-01T00:00:00.000Z","291.9708","172.992"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","67293.6718","2023-07-01T00:00:00.000Z","388.9988","168.2342"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","82063.08","2023-07-01T00:00:00.000Z","487.7907","164.1262"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","160882.56","2023-07-01T00:00:00.000Z","980.2369","160.8826"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","311385.6","2023-07-01T00:00:00.000Z","1935.4834","155.6928"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsouth","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","749271.6","2023-07-01T00:00:00.000Z","4812.5","149.8543"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","270.6076","2023-07-01T00:00:00.000Z","0","270.6076"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","18627.872","2023-07-01T00:00:00.000Z","68.8372","186.2787"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","34486.736","2023-07-01T00:00:00.000Z","185.1352","172.4337"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","50345.6","2023-07-01T00:00:00.000Z","291.9708","167.8187"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","65281.2516","2023-07-01T00:00:00.000Z","388.9987","163.2031"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","79608.98","2023-07-01T00:00:00.000Z","487.7909","159.218"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","156071.36","2023-07-01T00:00:00.000Z","980.2369","156.0714"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","302073.6","2023-07-01T00:00:00.000Z","1935.4834","151.0368"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsouth","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","726864.6","2023-07-01T00:00:00.000Z","4812.5","145.3729"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","265.7056","2023-07-01T00:00:00.000Z","0","265.7056"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","18290.432","2023-07-01T00:00:00.000Z","68.8372","182.9043"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","33862.016","2023-07-01T00:00:00.000Z","185.1352","169.3101"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","49433.6","2023-07-01T00:00:00.000Z","291.9708","164.7787"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","64098.6954","2023-07-01T00:00:00.000Z","388.9987","160.2467"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","78166.88","2023-07-01T00:00:00.000Z","487.7909","156.3338"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","153244.16","2023-07-01T00:00:00.000Z","980.2369","153.2442"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","296601.6","2023-07-01T00:00:00.000Z","1935.4834","148.3008"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsouth","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","713697.6","2023-07-01T00:00:00.000Z","4812.5","142.7395"
