"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","48.2024","2023-07-01T00:00:00.000Z","0","48.2024"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","3318.1171","2023-07-01T00:00:00.000Z","68.8372","33.1812"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","6143.0005","2023-07-01T00:00:00.000Z","185.135","30.715"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","8967.884","2023-07-01T00:00:00.000Z","291.9708","29.8929"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","11628.3238","2023-07-01T00:00:00.000Z","388.9995","29.0708"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","14180.4666","2023-07-01T00:00:00.000Z","487.7907","28.3609"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","27800.4404","2023-07-01T00:00:00.000Z","980.2383","27.8004"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","53807.304","2023-07-01T00:00:00.000Z","1935.4867","26.9037"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","129473.8252","2023-07-01T00:00:00.000Z","4812.4914","25.8948"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","49.7378","2023-07-01T00:00:00.000Z","0","49.7378"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","3423.8113","2023-07-01T00:00:00.000Z","68.8372","34.2381"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","6338.6776","2023-07-01T00:00:00.000Z","185.1352","31.6934"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","9253.544","2023-07-01T00:00:00.000Z","291.9707","30.8451"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","11998.7285","2023-07-01T00:00:00.000Z","388.9995","29.9968"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","14632.1664","2023-07-01T00:00:00.000Z","487.7909","29.2643"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","28685.9864","2023-07-01T00:00:00.000Z","980.2383","28.686"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","55521.264","2023-07-01T00:00:00.000Z","1935.483","27.7606"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","133598.0415","2023-07-01T00:00:00.000Z","4812.5055","26.7196"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","48.958","2023-07-01T00:00:00.000Z","0","48.958"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","3370.1302","2023-07-01T00:00:00.000Z","68.8372","33.7013"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","6239.2951","2023-07-01T00:00:00.000Z","185.1351","31.1965"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","9108.46","2023-07-01T00:00:00.000Z","291.9706","30.3615"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","11810.6035","2023-07-01T00:00:00.000Z","388.9993","29.5265"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","14402.7524","2023-07-01T00:00:00.000Z","487.7907","28.8055"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","28236.226","2023-07-01T00:00:00.000Z","980.2373","28.2362"
