"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","817.9648","2023-07-01T00:00:00.000Z","0","817.9648"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","56306.415","2023-07-01T00:00:00.000Z","68.8372","563.0642"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","104242.9575","2023-07-01T00:00:00.000Z","185.1351","521.2148"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","152179.5","2023-07-01T00:00:00.000Z","291.9708","507.265"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","197325.5336","2023-07-01T00:00:00.000Z","388.9989","493.3138"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","240633.8344","2023-07-01T00:00:00.000Z","487.7906","481.2677"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","471756.45","2023-07-01T00:00:00.000Z","980.2371","471.7564"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","913077","2023-07-01T00:00:00.000Z","1935.4841","456.5385"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2197091.5313","2023-07-01T00:00:00.000Z","4812.5","439.4183"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","823.1323","2023-07-01T00:00:00.000Z","0","823.1323"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","56662.133","2023-07-01T00:00:00.000Z","68.8372","566.6213"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","104901.5165","2023-07-01T00:00:00.000Z","185.1351","524.5076"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","153140.9","2023-07-01T00:00:00.000Z","291.9708","510.4697"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","198572.1455","2023-07-01T00:00:00.000Z","388.9989","496.4304"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","242154.0481","2023-07-01T00:00:00.000Z","487.7905","484.3081"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","474736.79","2023-07-01T00:00:00.000Z","980.2371","474.7368"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","918845.4","2023-07-01T00:00:00.000Z","1935.4838","459.4227"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2210971.7437","2023-07-01T00:00:00.000Z","4812.5","442.1943"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","823.3054","2023-07-01T00:00:00.000Z","0","823.3054"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","56674.047","2023-07-01T00:00:00.000Z","68.8372","566.7405"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","104923.5735","2023-07-01T00:00:00.000Z","185.1351","524.6179"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","153173.1","2023-07-01T00:00:00.000Z","291.9708","510.577"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","198613.898","2023-07-01T00:00:00.000Z","388.9989","496.5347"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","242204.9644","2023-07-01T00:00:00.000Z","487.7906","484.4099"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","474836.61","2023-07-01T00:00:00.000Z","980.2372","474.8366"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","919038.6","2023-07-01T00:00:00.000Z","1935.4839","459.5193"
"2023-11-01T06:09:55.088Z","Sentinel","brazilsoutheast","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2211436.6313","2023-07-01T00:00:00.000Z","4812.5","442.2873"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","824.2697","2023-07-01T00:00:00.000Z","0","824.2697"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","56740.425","2023-07-01T00:00:00.000Z","68.8372","567.4042"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","105046.4625","2023-07-01T00:00:00.000Z","185.1352","525.2323"
