"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","105.5851","2023-07-01T00:00:00.000Z","0","105.5851"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","7268.1868","2023-07-01T00:00:00.000Z","68.8372","72.6819"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","13455.9674","2023-07-01T00:00:00.000Z","185.1351","67.2798"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","19643.748","2023-07-01T00:00:00.000Z","291.971","65.4792"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","25471.3221","2023-07-01T00:00:00.000Z","388.9987","63.6783"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","31061.6765","2023-07-01T00:00:00.000Z","487.7906","62.1234"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","60895.6188","2023-07-01T00:00:00.000Z","980.2364","60.8956"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","117862.488","2023-07-01T00:00:00.000Z","1935.4845","58.9312"
"2023-09-11T15:21:36.457Z","Sentinel","brazilsoutheast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","283606.6118","2023-07-01T00:00:00.000Z","4812.5036","56.7213"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","106.3422","2023-07-01T00:00:00.000Z","0","106.3422"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","7320.302","2023-07-01T00:00:00.000Z","68.8372","73.203"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","13552.451","2023-07-01T00:00:00.000Z","185.1352","67.7623"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","19784.6","2023-07-01T00:00:00.000Z","291.9706","65.9487"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","25653.9597","2023-07-01T00:00:00.000Z","388.9987","64.1349"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","31284.3988","2023-07-01T00:00:00.000Z","487.7906","62.5688"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","61332.26","2023-07-01T00:00:00.000Z","980.2371","61.3323"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","118707.6","2023-07-01T00:00:00.000Z","1935.4826","59.3538"
"2023-10-02T06:09:57.719Z","Sentinel","brazilsoutheast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","285640.1625","2023-07-01T00:00:00.000Z","4812.5","57.128"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","110.3145","2023-07-01T00:00:00.000Z","0","110.3145"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","7593.7453","2023-07-01T00:00:00.000Z","68.8372","75.9375"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","14058.6907","2023-07-01T00:00:00.000Z","185.135","70.2935"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","20523.636","2023-07-01T00:00:00.000Z","291.9706","68.4121"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","26612.2403","2023-07-01T00:00:00.000Z","388.999","66.5306"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","32452.9994","2023-07-01T00:00:00.000Z","487.7906","64.906"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","63623.2716","2023-07-01T00:00:00.000Z","980.2371","63.6233"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","123141.816","2023-07-01T00:00:00.000Z","1935.483","61.5709"
"2023-11-02T06:09:34.736Z","Sentinel","brazilsoutheast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","296309.9947","2023-07-01T00:00:00.000Z","4812.5006","59.262"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","105.3216","2023-07-01T00:00:00.000Z","0","105.3216"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","7250.0434","2023-07-01T00:00:00.000Z","68.8372","72.5004"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","13422.3777","2023-07-01T00:00:00.000Z","185.1352","67.1119"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","19594.712","2023-07-01T00:00:00.000Z","291.9708","65.3157"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","25407.7389","2023-07-01T00:00:00.000Z","388.999","63.5193"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","30984.1383","2023-07-01T00:00:00.000Z","487.7909","61.9683"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","60743.6072","2023-07-01T00:00:00.000Z","980.2368","60.7436"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","117568.272","2023-07-01T00:00:00.000Z","1935.4841","58.7841"
"2023-12-02T06:09:12.946Z","Sentinel","brazilsoutheast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","282898.6545","2023-07-01T00:00:00.000Z","4812.5029","56.5797"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","99.621","2023-07-01T00:00:00.000Z","0","99.621"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","6857.6303","2023-07-01T00:00:00.000Z","68.8372","68.5763"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","12695.8832","2023-07-01T00:00:00.000Z","185.1351","63.4794"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","18534.136","2023-07-01T00:00:00.000Z","291.9709","61.7805"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","24032.5292","2023-07-01T00:00:00.000Z","388.9986","60.0813"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","29307.1026","2023-07-01T00:00:00.000Z","487.7908","58.6142"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","57455.8216","2023-07-01T00:00:00.000Z","980.2372","57.4558"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","111204.816","2023-07-01T00:00:00.000Z","1935.4846","55.6024"
"2024-01-01T06:10:32.426Z","Sentinel","brazilsoutheast","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","267586.5885","2023-07-01T00:00:00.000Z","4812.5007","53.5173"
