"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","755.0112","2023-07-01T00:00:00.000Z","0","755.0112"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","49678.5664","2023-07-01T00:00:00.000Z","65.7984","496.7857"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","91912.3712","2023-07-01T00:00:00.000Z","185.0141","459.5619"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","134146.176","2023-07-01T00:00:00.000Z","291.9001","447.1539"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","173898.3936","2023-07-01T00:00:00.000Z","388.9005","434.746"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","211988.416","2023-07-01T00:00:00.000Z","487.6144","423.9768"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","415548.8","2023-07-01T00:00:00.000Z","980.1216","415.5488"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","803940.608","2023-07-01T00:00:00.000Z","1934.6479","401.9703"
"2023-09-11T15:21:36.457Z","Sentinel","canadaeast","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1933765.12","2023-07-01T00:00:00.000Z","4810.7164","386.753"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","771.291","2023-07-01T00:00:00.000Z","0","771.291"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","50749.752","2023-07-01T00:00:00.000Z","65.7984","507.4975"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","93894.216","2023-07-01T00:00:00.000Z","185.0141","469.4711"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","137038.68","2023-07-01T00:00:00.000Z","291.9001","456.7956"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","177648.048","2023-07-01T00:00:00.000Z","388.9005","444.1201"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","216559.38","2023-07-01T00:00:00.000Z","487.6145","433.1188"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","424509","2023-07-01T00:00:00.000Z","980.1214","424.509"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","821275.44","2023-07-01T00:00:00.000Z","1934.6479","410.6377"
"2023-10-02T06:09:57.719Z","Sentinel","canadaeast","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1975461.6","2023-07-01T00:00:00.000Z","4810.7166","395.0923"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","771.9618","2023-07-01T00:00:00.000Z","0","771.9618"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","50793.8896","2023-07-01T00:00:00.000Z","65.7984","507.9389"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","93975.8768","2023-07-01T00:00:00.000Z","185.0141","469.8794"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","137157.864","2023-07-01T00:00:00.000Z","291.9001","457.1929"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","177802.5504","2023-07-01T00:00:00.000Z","388.9005","444.5064"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","216747.724","2023-07-01T00:00:00.000Z","487.6144","433.4954"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","424878.2","2023-07-01T00:00:00.000Z","980.1216","424.8782"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","821989.712","2023-07-01T00:00:00.000Z","1934.6479","410.9949"
"2023-11-01T06:09:55.088Z","Sentinel","canadaeast","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1977179.68","2023-07-01T00:00:00.000Z","4810.7159","395.4359"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","763.0608","2023-07-01T00:00:00.000Z","0","763.0608"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","50208.2176","2023-07-01T00:00:00.000Z","65.7984","502.0822"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","92892.3008","2023-07-01T00:00:00.000Z","185.0141","464.4615"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","135576.384","2023-07-01T00:00:00.000Z","291.9002","451.9213"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","175752.4224","2023-07-01T00:00:00.000Z","388.9005","439.3811"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","214248.544","2023-07-01T00:00:00.000Z","487.6144","428.4971"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","419979.2","2023-07-01T00:00:00.000Z","980.1215","419.9792"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","812511.872","2023-07-01T00:00:00.000Z","1934.6479","406.2559"
"2023-12-02T06:09:12.946Z","Sentinel","canadaeast","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1954382.08","2023-07-01T00:00:00.000Z","4810.7168","390.8764"
