"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.3069","2023-07-01T00:00:00.000Z","0","5.3069"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","365.3143","2023-07-01T00:00:00.000Z","68.8376","3.6531"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","676.3252","2023-07-01T00:00:00.000Z","185.1373","3.3816"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","987.336","2023-07-01T00:00:00.000Z","291.973","3.2911"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1280.2398","2023-07-01T00:00:00.000Z","389.0006","3.2006"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1561.225","2023-07-01T00:00:00.000Z","487.7914","3.1224"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3060.7416","2023-07-01T00:00:00.000Z","980.2529","3.0607"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5924.016","2023-07-01T00:00:00.000Z","1935.5102","2.962"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14254.6635","2023-07-01T00:00:00.000Z","4812.513","2.8509"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.5375","2023-07-01T00:00:00.000Z","0","5.5375"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","381.1858","2023-07-01T00:00:00.000Z","68.8372","3.8119"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","705.7089","2023-07-01T00:00:00.000Z","185.1331","3.5285"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","1030.232","2023-07-01T00:00:00.000Z","291.9745","3.4341"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1335.8614","2023-07-01T00:00:00.000Z","388.999","3.3397"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1629.0544","2023-07-01T00:00:00.000Z","487.7847","3.2581"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3193.7192","2023-07-01T00:00:00.000Z","980.2398","3.1937"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6181.392","2023-07-01T00:00:00.000Z","1935.4955","3.0907"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14873.9745","2023-07-01T00:00:00.000Z","4812.4938","2.9748"
"2023-11-01T06:09:55.088Z","Sentinel","centralindia","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.4346","2023-07-01T00:00:00.000Z","0","5.4346"
"2023-11-01T06:09:55.088Z","Sentinel","centralindia","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","374.0996","2023-07-01T00:00:00.000Z","68.8366","3.741"
"2023-11-01T06:09:55.088Z","Sentinel","centralindia","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","692.5898","2023-07-01T00:00:00.000Z","185.1349","3.4629"
