"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","65.987","2023-07-01T00:00:00.000Z","0","65.987"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4542.3627","2023-07-01T00:00:00.000Z","68.8372","45.4236"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8409.5094","2023-07-01T00:00:00.000Z","185.1352","42.0475"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","12276.656","2023-07-01T00:00:00.000Z","291.9711","40.9222"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15918.6575","2023-07-01T00:00:00.000Z","388.9981","39.7966"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","19412.4623","2023-07-01T00:00:00.000Z","487.792","38.8249"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","38057.6336","2023-07-01T00:00:00.000Z","980.2378","38.0576"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","73659.936","2023-07-01T00:00:00.000Z","1935.4856","36.83"
"2023-09-11T15:21:36.457Z","Sentinel","centralindia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","177244.221","2023-07-01T00:00:00.000Z","4812.4958","35.4488"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","66.288","2023-07-01T00:00:00.000Z","0","66.288"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4563.0827","2023-07-01T00:00:00.000Z","68.8372","45.6308"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8447.8694","2023-07-01T00:00:00.000Z","185.1352","42.2393"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","12332.656","2023-07-01T00:00:00.000Z","291.9711","41.1089"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15991.2705","2023-07-01T00:00:00.000Z","388.9978","39.9782"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","19501.0123","2023-07-01T00:00:00.000Z","487.7912","39.0020"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","38231.2336","2023-07-01T00:00:00.000Z","980.2378","38.2312"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","73995.936","2023-07-01T00:00:00.000Z","1935.4856","36.9980"
"2023-10-02T06:09:57.719Z","Sentinel","centralindia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","178052.721","2023-07-01T00:00:00.000Z","4812.4958","35.6105"
