"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6.5842","2023-07-01T00:00:00.000Z","0","6.5842"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","423.6772","2023-07-01T00:00:00.000Z","64.3476","4.2368"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","784.3753","2023-07-01T00:00:00.000Z","185.1339","3.9219"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1145.0734","2023-07-01T00:00:00.000Z","291.969","3.8169"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1484.7724","2023-07-01T00:00:00.000Z","388.9996","3.7119"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1810.6473","2023-07-01T00:00:00.000Z","487.7953","3.6213"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3549.7276","2023-07-01T00:00:00.000Z","980.2357","3.5497"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6870.4405","2023-07-01T00:00:00.000Z","1935.4989","3.4352"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16531.9974","2023-07-01T00:00:00.000Z","4812.5284","3.3064"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6.783","2023-07-01T00:00:00.000Z","0","6.783"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","436.4743","2023-07-01T00:00:00.000Z","64.3483","4.3647"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","808.0674","2023-07-01T00:00:00.000Z","185.137","4.0403"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1179.6604","2023-07-01T00:00:00.000Z","291.9735","3.9322"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1529.6199","2023-07-01T00:00:00.000Z","388.9985","3.824"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1865.338","2023-07-01T00:00:00.000Z","487.7976","3.7307"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3656.9472","2023-07-01T00:00:00.000Z","980.2308","3.6569"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7077.9622","2023-07-01T00:00:00.000Z","1935.5088","3.539"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17031.3466","2023-07-01T00:00:00.000Z","4812.4743","3.4063"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6.7398","2023-07-01T00:00:00.000Z","0","6.7398"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","433.6894","2023-07-01T00:00:00.000Z","64.3475","4.3369"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","802.9114","2023-07-01T00:00:00.000Z","185.1349","4.0146"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1172.1335","2023-07-01T00:00:00.000Z","291.9677","3.9071"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1519.8601","2023-07-01T00:00:00.000Z","388.9995","3.7997"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1853.4361","2023-07-01T00:00:00.000Z","487.7849","3.7069"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3633.6138","2023-07-01T00:00:00.000Z","980.2298","3.6336"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7032.8008","2023-07-01T00:00:00.000Z","1935.4912","3.5164"
"2023-11-02T06:09:34.736Z","Sentinel","eastasia","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16922.677","2023-07-01T00:00:00.000Z","4812.5006","3.3845"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6.493","2023-07-01T00:00:00.000Z","0","6.493"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","417.8126","2023-07-01T00:00:00.000Z","64.3482","4.1781"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","773.5179","2023-07-01T00:00:00.000Z","185.1363","3.8676"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1129.2232","2023-07-01T00:00:00.000Z","291.97","3.7641"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1464.22","2023-07-01T00:00:00.000Z","388.996","3.6606"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1785.5842","2023-07-01T00:00:00.000Z","487.7846","3.5712"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3500.5919","2023-07-01T00:00:00.000Z","980.2285","3.5006"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6775.3392","2023-07-01T00:00:00.000Z","1935.4794","3.3877"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16303.16","2023-07-01T00:00:00.000Z","4812.4568","3.2606"
"2024-01-01T06:10:32.426Z","Sentinel","eastasia","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6.4205","2023-07-01T00:00:00.000Z","0","6.4205"
