"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","76.1195","2023-07-01T00:00:00.000Z","0","76.1195"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4898.1259","2023-07-01T00:00:00.000Z","64.3478","48.9813"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9068.1519","2023-07-01T00:00:00.000Z","185.135","45.3408"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13238.178","2023-07-01T00:00:00.000Z","291.9705","44.1273"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17165.433","2023-07-01T00:00:00.000Z","388.998","42.9136"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","20932.869","2023-07-01T00:00:00.000Z","487.791","41.8657"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","41038.3518","2023-07-01T00:00:00.000Z","980.238","41.0384"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","79429.068","2023-07-01T00:00:00.000Z","1935.4816","39.7145"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","191126.1949","2023-07-01T00:00:00.000Z","4812.5041","38.2252"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","76.6653","2023-07-01T00:00:00.000Z","0","76.6653"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4933.247","2023-07-01T00:00:00.000Z","64.3478","49.3325"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9133.1735","2023-07-01T00:00:00.000Z","185.1350","45.6659"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13333.1","2023-07-01T00:00:00.000Z","291.9706","44.4437"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17288.5147","2023-07-01T00:00:00.000Z","388.9981","43.2213"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","21082.9644","2023-07-01T00:00:00.000Z","487.7911","42.1659"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","41332.61","2023-07-01T00:00:00.000Z","980.2378","41.3326"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","79998.6","2023-07-01T00:00:00.000Z","1935.4843","39.9993"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","192496.6313","2023-07-01T00:00:00.000Z","4812.5000","38.4993"
