"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","682.1627","2023-07-01T00:00:00.000Z","0","682.1627"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","43895.69","2023-07-01T00:00:00.000Z","64.3478","438.9569"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","81266.345","2023-07-01T00:00:00.000Z","185.1351","406.3317"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","118637","2023-07-01T00:00:00.000Z","291.9708","395.4567"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","153832.0055","2023-07-01T00:00:00.000Z","388.9984","384.58"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","187594.7562","2023-07-01T00:00:00.000Z","487.7912","375.1895"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","367774.7","2023-07-01T00:00:00.000Z","980.2372","367.7747"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","711822","2023-07-01T00:00:00.000Z","1935.4839","355.911"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1712821.6875","2023-07-01T00:00:00.000Z","4812.5","342.5643"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","689.8275","2023-07-01T00:00:00.000Z","0","689.8275"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","44388.9","2023-07-01T00:00:00.000Z","64.3478","443.889"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","82179.45","2023-07-01T00:00:00.000Z","185.1351","410.8972"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","119970","2023-07-01T00:00:00.000Z","291.9708","399.9"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","155560.455","2023-07-01T00:00:00.000Z","388.9984","388.9011"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","189702.5625","2023-07-01T00:00:00.000Z","487.7913","379.4051"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","371907","2023-07-01T00:00:00.000Z","980.2372","371.907"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","719820","2023-07-01T00:00:00.000Z","1935.4839","359.91"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1732066.875","2023-07-01T00:00:00.000Z","4812.5","346.4134"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","675.211","2023-07-01T00:00:00.000Z","0","675.211"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","43448.36","2023-07-01T00:00:00.000Z","64.3478","434.4836"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","80438.18","2023-07-01T00:00:00.000Z","185.1351","402.1909"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","117428","2023-07-01T00:00:00.000Z","291.9708","391.4267"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","152264.342","2023-07-01T00:00:00.000Z","388.9984","380.6609"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","185683.025","2023-07-01T00:00:00.000Z","487.7912","371.366"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","364026.8","2023-07-01T00:00:00.000Z","980.2373","364.0268"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","704568","2023-07-01T00:00:00.000Z","1935.4839","352.284"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1695366.75","2023-07-01T00:00:00.000Z","4812.5","339.0734"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","638.135","2023-07-01T00:00:00.000Z","0","638.135"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","41062.6","2023-07-01T00:00:00.000Z","64.3478","410.626"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","76021.3","2023-07-01T00:00:00.000Z","185.1351","380.1065"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","110980","2023-07-01T00:00:00.000Z","291.9708","369.9333"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","143903.47","2023-07-01T00:00:00.000Z","388.9984","359.7587"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","175487.125","2023-07-01T00:00:00.000Z","487.7912","350.9742"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","344038","2023-07-01T00:00:00.000Z","980.2373","344.038"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","665880","2023-07-01T00:00:00.000Z","1935.4839","332.94"
"2023-12-02T06:09:12.946Z","Sentinel","eastasia","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1602273.75","2023-07-01T00:00:00.000Z","4812.5","320.4548"
"2024-01-02T06:09:49.104Z","Sentinel","eastasia","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","652.9298","2023-07-01T00:00:00.000Z","0","652.9298"
