"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","78.1541","2023-07-01T00:00:00.000Z","0","78.1541"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","5029.0444","2023-07-01T00:00:00.000Z","64.3478","50.2904"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9310.5282","2023-07-01T00:00:00.000Z","185.1353","46.5526"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13592.012","2023-07-01T00:00:00.000Z","291.9711","45.3067"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17624.2358","2023-07-01T00:00:00.000Z","388.9984","44.0606"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","21492.369","2023-07-01T00:00:00.000Z","487.7911","42.9847"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","42135.2372","2023-07-01T00:00:00.000Z","980.238","42.1352"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","81552.072","2023-07-01T00:00:00.000Z","1935.4856","40.776"
"2023-09-11T15:21:36.457Z","Sentinel","eastasia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","196234.6732","2023-07-01T00:00:00.000Z","4812.5042","39.2469"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","78.5106","2023-07-01T00:00:00.000Z","0","78.5106"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","5051.9844","2023-07-01T00:00:00.000Z","64.3478","50.5198"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9352.9982","2023-07-01T00:00:00.000Z","185.1353","46.765"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13654.012","2023-07-01T00:00:00.000Z","291.9707","45.5134"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17704.6288","2023-07-01T00:00:00.000Z","388.9982","44.2616"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","21590.4065","2023-07-01T00:00:00.000Z","487.7909","43.1808"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","42327.4372","2023-07-01T00:00:00.000Z","980.2374","42.3274"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","81924.072","2023-07-01T00:00:00.000Z","1935.4856","40.962"
"2023-10-02T06:09:57.719Z","Sentinel","eastasia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","197129.7982","2023-07-01T00:00:00.000Z","4812.5042","39.426"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","79.3273","2023-07-01T00:00:00.000Z","0","79.3273"
"2023-11-01T06:09:55.088Z","Sentinel","eastasia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","5104.54","2023-07-01T00:00:00.000Z","64.3478","51.0454"
