"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","32.7647","2023-07-01T00:00:00.000Z","0","32.7647"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2037.4716","2023-07-01T00:00:00.000Z","62.185","20.3747"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","3772.0758","2023-07-01T00:00:00.000Z","185.1353","18.8604"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","5506.68","2023-07-01T00:00:00.000Z","291.9705","18.3556"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7140.3055","2023-07-01T00:00:00.000Z","388.9988","17.8508"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","8707.4377","2023-07-01T00:00:00.000Z","487.7898","17.4149"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17070.708","2023-07-01T00:00:00.000Z","980.2358","17.0707"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33040.08","2023-07-01T00:00:00.000Z","1935.4848","16.52"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","79502.6925","2023-07-01T00:00:00.000Z","4812.5117","15.9005"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","33.7636","2023-07-01T00:00:00.000Z","0","33.7636"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2099.5872","2023-07-01T00:00:00.000Z","62.1849","20.9959"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","3887.0736","2023-07-01T00:00:00.000Z","185.1349","19.4354"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","5674.56","2023-07-01T00:00:00.000Z","291.9703","18.9152"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7357.9892","2023-07-01T00:00:00.000Z","388.9988","18.395"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","8972.898","2023-07-01T00:00:00.000Z","487.7901","17.9458"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17591.136","2023-07-01T00:00:00.000Z","980.2369","17.5911"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","34047.36","2023-07-01T00:00:00.000Z","1935.4878","17.0237"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","81926.46","2023-07-01T00:00:00.000Z","4812.4943","16.3853"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","33.5839","2023-07-01T00:00:00.000Z","0","33.5839"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2088.4132","2023-07-01T00:00:00.000Z","62.185","20.8841"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","3866.3866","2023-07-01T00:00:00.000Z","185.1354","19.3319"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","5644.36","2023-07-01T00:00:00.000Z","291.9713","18.8145"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7318.8299","2023-07-01T00:00:00.000Z","388.9994","18.2971"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","8925.1442","2023-07-01T00:00:00.000Z","487.7901","17.8503"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17497.516","2023-07-01T00:00:00.000Z","980.2365","17.4975"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33866.16","2023-07-01T00:00:00.000Z","1935.4856","16.9331"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","81490.4475","2023-07-01T00:00:00.000Z","4812.4943","16.2981"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","32.3211","2023-07-01T00:00:00.000Z","0","32.3211"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2009.8844","2023-07-01T00:00:00.000Z","62.1849","20.0988"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","3721.0022","2023-07-01T00:00:00.000Z","185.1355","18.605"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","5432.12","2023-07-01T00:00:00.000Z","291.971","18.1071"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7043.6263","2023-07-01T00:00:00.000Z","388.998","17.6091"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","8589.5398","2023-07-01T00:00:00.000Z","487.7898","17.1791"
"2023-12-02T06:09:12.946Z","Sentinel","eastus2","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16839.572","2023-07-01T00:00:00.000Z","980.236","16.8396"
