"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","455.413","2023-07-01T00:00:00.000Z","0","455.413"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","28319.8","2023-07-01T00:00:00.000Z","62.1849","283.198"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","52429.9","2023-07-01T00:00:00.000Z","185.1351","262.1495"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","76540","2023-07-01T00:00:00.000Z","291.9708","255.1333"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","99246.5477","2023-07-01T00:00:00.000Z","388.9988","248.1164"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","121028.875","2023-07-01T00:00:00.000Z","487.7907","242.0578"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","237274","2023-07-01T00:00:00.000Z","980.237","237.274"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","459240","2023-07-01T00:00:00.000Z","1935.4839","229.62"
"2023-09-11T15:21:36.457Z","Sentinel","eastus2","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1105046.25","2023-07-01T00:00:00.000Z","4812.5","221.0092"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","460.53","2023-07-01T00:00:00.000Z","0","460.53"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","28638","2023-07-01T00:00:00.000Z","62.1849","286.38"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","53019","2023-07-01T00:00:00.000Z","185.1351","265.095"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","77400","2023-07-01T00:00:00.000Z","291.9708","258"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","100361.6775","2023-07-01T00:00:00.000Z","388.9988","250.9042"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","122388.75","2023-07-01T00:00:00.000Z","487.7908","244.7775"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","239940","2023-07-01T00:00:00.000Z","980.2372","239.94"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","464400","2023-07-01T00:00:00.000Z","1935.4839","232.2"
"2023-10-02T06:09:57.719Z","Sentinel","eastus2","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1117462.5","2023-07-01T00:00:00.000Z","4812.5","223.4925"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","450.772","2023-07-01T00:00:00.000Z","0","450.772"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","28031.2","2023-07-01T00:00:00.000Z","62.1849","280.312"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","51895.6","2023-07-01T00:00:00.000Z","185.1351","259.478"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","75760","2023-07-01T00:00:00.000Z","291.9708","252.5333"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","98235.151","2023-07-01T00:00:00.000Z","388.9988","245.5879"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","119795.5","2023-07-01T00:00:00.000Z","487.7907","239.591"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","234856","2023-07-01T00:00:00.000Z","980.2372","234.856"
"2023-11-01T06:09:55.088Z","Sentinel","eastus2","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","454560","2023-07-01T00:00:00.000Z","1935.4839","227.28"
