"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","29.3406","2023-07-01T00:00:00.000Z","0","29.3406"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2026.7418","2023-07-01T00:00:00.000Z","69.0764","20.2674"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3743.7017","2023-07-01T00:00:00.000Z","184.7154","18.7185"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5460.6615","2023-07-01T00:00:00.000Z","291.7254","18.2022"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7074.3445","2023-07-01T00:00:00.000Z","388.6533","17.6859"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8616.2357","2023-07-01T00:00:00.000Z","487.1811","17.2325"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16884.9659","2023-07-01T00:00:00.000Z","979.8326","16.885"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","32631.4005","2023-07-01T00:00:00.000Z","1932.5674","16.3157"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","78417.8096","2023-07-01T00:00:00.000Z","4806.2792","15.6836"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","30.2752","2023-07-01T00:00:00.000Z","0","30.2752"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2091.3009","2023-07-01T00:00:00.000Z","69.0764","20.913"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3862.9523","2023-07-01T00:00:00.000Z","184.7154","19.3148"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5634.6036","2023-07-01T00:00:00.000Z","291.7247","18.782"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7299.6884","2023-07-01T00:00:00.000Z","388.6534","18.2492"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8890.6944","2023-07-01T00:00:00.000Z","487.1827","17.7814"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17422.814","2023-07-01T00:00:00.000Z","979.8336","17.4228"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33670.8303","2023-07-01T00:00:00.000Z","1932.5729","16.8354"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","80915.7044","2023-07-01T00:00:00.000Z","4806.2835","16.1831"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","29.8005","2023-07-01T00:00:00.000Z","0","29.8005"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2058.512","2023-07-01T00:00:00.000Z","69.0764","20.5851"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3802.386","2023-07-01T00:00:00.000Z","184.7154","19.0119"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5546.2601","2023-07-01T00:00:00.000Z","291.7257","18.4875"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7185.2384","2023-07-01T00:00:00.000Z","388.6539","17.9631"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8751.2995","2023-07-01T00:00:00.000Z","487.1820","17.5026"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17149.6461","2023-07-01T00:00:00.000Z","979.8342","17.1496"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33142.9138","2023-07-01T00:00:00.000Z","1932.5765","16.5715"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","79647.0474","2023-07-01T00:00:00.000Z","4806.2666","15.9294"
