"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.5591","2023-07-01T00:00:00.000Z","0","5.5591"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","384.0059","2023-07-01T00:00:00.000Z","69.077","3.8401"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","709.3176","2023-07-01T00:00:00.000Z","184.7133","3.5466"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1034.6292","2023-07-01T00:00:00.000Z","291.7242","3.4488"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1340.3731","2023-07-01T00:00:00.000Z","388.6491","3.3509"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1632.5145","2023-07-01T00:00:00.000Z","487.1869","3.265"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3199.1874","2023-07-01T00:00:00.000Z","979.843","3.1992"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6182.6577","2023-07-01T00:00:00.000Z","1932.5637","3.0913"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14857.7893","2023-07-01T00:00:00.000Z","4806.324","2.9716"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.7271","2023-07-01T00:00:00.000Z","0","5.7271"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","395.6048","2023-07-01T00:00:00.000Z","69.0759","3.956"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","730.7425","2023-07-01T00:00:00.000Z","184.7175","3.6537"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1065.8802","2023-07-01T00:00:00.000Z","291.7263","3.5529"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1380.8591","2023-07-01T00:00:00.000Z","388.6569","3.4521"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1681.8247","2023-07-01T00:00:00.000Z","487.1889","3.3636"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3295.8189","2023-07-01T00:00:00.000Z","979.8486","3.2958"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6369.4049","2023-07-01T00:00:00.000Z","1932.5823","3.1847"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15306.569","2023-07-01T00:00:00.000Z","4806.2829","3.0613"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.6905","2023-07-01T00:00:00.000Z","0","5.6905"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","393.0806","2023-07-01T00:00:00.000Z","69.0766","3.9308"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","726.08","2023-07-01T00:00:00.000Z","184.7156","3.6304"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1059.0793","2023-07-01T00:00:00.000Z","291.7252","3.5303"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1372.0484","2023-07-01T00:00:00.000Z","388.6492","3.4301"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1671.0937","2023-07-01T00:00:00.000Z","487.1851","3.3422"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3274.7897","2023-07-01T00:00:00.000Z","979.8306","3.2748"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6328.7645","2023-07-01T00:00:00.000Z","1932.5652","3.1644"
"2023-11-02T06:09:34.736Z","Sentinel","francesouth","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15208.9044","2023-07-01T00:00:00.000Z","4806.2522","3.0418"
