"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7958.44","2023-07-01T00:00:00.000Z","0","7958.44"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","549740.48","2023-07-01T00:00:00.000Z","69.0764","5497.4048"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1015454.64","2023-07-01T00:00:00.000Z","184.7153","5077.2732"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1481168.8","2023-07-01T00:00:00.000Z","291.7253","4937.2293"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1918869.78","2023-07-01T00:00:00.000Z","388.6532","4797.1744"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2337097.7","2023-07-01T00:00:00.000Z","487.1821","4674.1954"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4579936.8","2023-07-01T00:00:00.000Z","979.8343","4579.9368"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8851054.4","2023-07-01T00:00:00.000Z","1932.5713","4425.5272"
"2023-09-11T15:21:36.457Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21270319","2023-07-01T00:00:00.000Z","4806.2791","4254.0638"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8123.388","2023-07-01T00:00:00.000Z","0","8123.388"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","561134.496","2023-07-01T00:00:00.000Z","69.0764","5611.345"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1036501.128","2023-07-01T00:00:00.000Z","184.7153","5182.5056"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1511867.76","2023-07-01T00:00:00.000Z","291.7253","5039.5592"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1958640.606","2023-07-01T00:00:00.000Z","388.6532","4896.6015"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2385536.79","2023-07-01T00:00:00.000Z","487.1821","4771.0736"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4674861.36","2023-07-01T00:00:00.000Z","979.8343","4674.8614"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9034502.88","2023-07-01T00:00:00.000Z","1932.5713","4517.2514"
"2023-10-02T06:09:57.719Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21711171.3","2023-07-01T00:00:00.000Z","4806.2792","4342.2343"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8162.217","2023-07-01T00:00:00.000Z","0","8162.217"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","563816.664","2023-07-01T00:00:00.000Z","69.0764","5638.1666"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1041455.502","2023-07-01T00:00:00.000Z","184.7153","5207.2775"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1519094.34","2023-07-01T00:00:00.000Z","291.7253","5063.6478"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1968002.7165","2023-07-01T00:00:00.000Z","388.6532","4920.0068"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2396939.4225","2023-07-01T00:00:00.000Z","487.1821","4793.8788"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4697206.74","2023-07-01T00:00:00.000Z","979.8343","4697.2067"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9077686.92","2023-07-01T00:00:00.000Z","1932.5713","4538.8435"
"2023-11-01T06:09:55.088Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21814948.575","2023-07-01T00:00:00.000Z","4806.2791","4362.9897"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7788.074","2023-07-01T00:00:00.000Z","0","7788.074"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","537972.208","2023-07-01T00:00:00.000Z","69.0764","5379.7221"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","993716.844","2023-07-01T00:00:00.000Z","184.7153","4968.5842"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1449461.48","2023-07-01T00:00:00.000Z","291.7253","4831.5383"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1877792.613","2023-07-01T00:00:00.000Z","388.6532","4694.4815"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2287067.545","2023-07-01T00:00:00.000Z","487.1821","4574.1351"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4481894.28","2023-07-01T00:00:00.000Z","979.8343","4481.8943"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8661580.24","2023-07-01T00:00:00.000Z","1932.5713","4330.7901"
"2023-12-02T06:09:12.946Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20814986.15","2023-07-01T00:00:00.000Z","4806.2791","4162.9972"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7791.385","2023-07-01T00:00:00.000Z","0","7791.385"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","538200.92","2023-07-01T00:00:00.000Z","69.0764","5382.0092"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","994139.31","2023-07-01T00:00:00.000Z","184.7153","4970.6966"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1450077.7","2023-07-01T00:00:00.000Z","291.7252","4833.5923"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1878590.9325","2023-07-01T00:00:00.000Z","388.6532","4696.4773"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2288039.8625","2023-07-01T00:00:00.000Z","487.1821","4576.0797"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4483799.7","2023-07-01T00:00:00.000Z","979.8343","4483.7997"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8665262.6","2023-07-01T00:00:00.000Z","1932.5713","4332.6313"
"2024-01-01T06:10:32.426Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20823835.375","2023-07-01T00:00:00.000Z","4806.2791","4164.7671"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8041.215","2023-07-01T00:00:00.000Z","0","8041.215"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","555458.28","2023-07-01T00:00:00.000Z","69.0764","5554.5828"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1026016.29","2023-07-01T00:00:00.000Z","184.7153","5130.0814"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1496574.3","2023-07-01T00:00:00.000Z","291.7253","4988.581"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1938827.7675","2023-07-01T00:00:00.000Z","388.6532","4847.0694"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2361405.6375","2023-07-01T00:00:00.000Z","487.1821","4722.8113"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4627572.3","2023-07-01T00:00:00.000Z","979.8343","4627.5723"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8943113.4","2023-07-01T00:00:00.000Z","1932.5713","4471.5567"
"2024-02-02T06:09:14.625Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21491549.625","2023-07-01T00:00:00.000Z","4806.2791","4298.3099"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8012.319","2023-07-01T00:00:00.000Z","0","8012.319"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","553462.248","2023-07-01T00:00:00.000Z","69.0764","5534.6225"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1022329.314","2023-07-01T00:00:00.000Z","184.7153","5111.6466"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1491196.38","2023-07-01T00:00:00.000Z","291.7252","4970.6546"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1931860.6155","2023-07-01T00:00:00.000Z","388.6532","4829.6515"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2352919.9575","2023-07-01T00:00:00.000Z","487.1821","4705.8399"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4610943.18","2023-07-01T00:00:00.000Z","979.8343","4610.9432"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8910976.44","2023-07-01T00:00:00.000Z","1932.5713","4455.4882"
"2024-03-02T06:09:37.412Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21414320.025","2023-07-01T00:00:00.000Z","4806.2791","4282.864"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8064.091","2023-07-01T00:00:00.000Z","0","8064.091"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","557038.472","2023-07-01T00:00:00.000Z","69.0764","5570.3847"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1028935.146","2023-07-01T00:00:00.000Z","184.7153","5144.6757"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1500831.82","2023-07-01T00:00:00.000Z","291.7253","5002.7727"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1944343.4295","2023-07-01T00:00:00.000Z","388.6532","4860.8586"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2368123.4675","2023-07-01T00:00:00.000Z","487.1821","4736.2469"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4640737.02","2023-07-01T00:00:00.000Z","979.8343","4640.7370"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8968555.16","2023-07-01T00:00:00.000Z","1932.5713","4484.2776"
"2024-04-03T09:27:52.666Z","Sentinel","francesouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21552689.725","2023-07-01T00:00:00.000Z","4806.2791","4310.5379"
