"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","27.2448","2023-07-01T00:00:00.000Z","0","27.2448"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1865.9047","2023-07-01T00:00:00.000Z","68.4866","18.659"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3454.195","2023-07-01T00:00:00.000Z","185.1222","17.271"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5042.4852","2023-07-01T00:00:00.000Z","291.9625","16.8083"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6538.221","2023-07-01T00:00:00.000Z","388.9876","16.3456"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","7972.8875","2023-07-01T00:00:00.000Z","487.7696","15.9458"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","15630.4369","2023-07-01T00:00:00.000Z","980.2228","15.6304"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","30251.0122","2023-07-01T00:00:00.000Z","1935.3959","15.1255"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","72788.5128","2023-07-01T00:00:00.000Z","4812.3046","14.5577"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","28.1127","2023-07-01T00:00:00.000Z","0","28.1127"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1925.3406","2023-07-01T00:00:00.000Z","68.4865","19.2534"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3564.2238","2023-07-01T00:00:00.000Z","185.1218","17.8211"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5203.1069","2023-07-01T00:00:00.000Z","291.9633","17.3437"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6746.4874","2023-07-01T00:00:00.000Z","388.9878","16.8662"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8226.8532","2023-07-01T00:00:00.000Z","487.7716","16.4537"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16128.3237","2023-07-01T00:00:00.000Z","980.2247","16.1283"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","31214.6179","2023-07-01T00:00:00.000Z","1935.3942","15.6073"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","75107.0939","2023-07-01T00:00:00.000Z","4812.3054","15.0214"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","27.6719","2023-07-01T00:00:00.000Z","0","27.6719"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1895.1537","2023-07-01T00:00:00.000Z","68.4866","18.9515"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3508.3412","2023-07-01T00:00:00.000Z","185.1221","17.5417"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5121.5287","2023-07-01T00:00:00.000Z","291.9631","17.0718"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6640.7109","2023-07-01T00:00:00.000Z","388.9872","16.6018"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8097.8665","2023-07-01T00:00:00.000Z","487.7704","16.1957"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","15875.4518","2023-07-01T00:00:00.000Z","980.2263","15.8755"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","30725.2117","2023-07-01T00:00:00.000Z","1935.3854","15.3626"
"2023-11-02T06:09:34.736Z","Sentinel","germanywestcentral","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","73929.5086","2023-07-01T00:00:00.000Z","4812.3045","14.7859"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","27.2049","2023-07-01T00:00:00.000Z","0","27.2049"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1863.1674","2023-07-01T00:00:00.000Z","68.4865","18.6317"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3449.1276","2023-07-01T00:00:00.000Z","185.1215","17.2456"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5035.0878","2023-07-01T00:00:00.000Z","291.9636","16.7836"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6528.6294","2023-07-01T00:00:00.000Z","388.9886","16.3216"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","7961.1912","2023-07-01T00:00:00.000Z","487.7703","15.9224"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","15607.5069","2023-07-01T00:00:00.000Z","980.2233","15.6075"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","30206.6336","2023-07-01T00:00:00.000Z","1935.3922","15.1033"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","72681.7311","2023-07-01T00:00:00.000Z","4812.3080","14.5363"
